"Authors","Author full names","Author(s) ID","Title","Year","Link","Affiliations","Authors with affiliations","ISSN","ISBN","CODEN"
"Berezsky O.; Pitsun O.; Derysh B.; Pazdriy I.; Melnyk G.; Batko Y.","Berezsky, Oleh (16479742300); Pitsun, Oleh (57190575875); Derysh, Bohdan (57219592005); Pazdriy, Ihor (55225992700); Melnyk, Grygory (27867794600); Batko, Yuriy (36068957200)","16479742300; 57190575875; 57219592005; 55225992700; 27867794600; 36068957200","Automatic Segmentation of Immunohistochemical Images Based on U-net Architecture","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124809140&doi=10.1109%2fCSIT52700.2021.9648669&partnerID=40&md5=d2572704474251668c235d7538bdf2b9","WUNU, Department of Computer Engineering, Ternopil, Ukraine","Berezsky O., WUNU, Department of Computer Engineering, Ternopil, Ukraine; Pitsun O., WUNU, Department of Computer Engineering, Ternopil, Ukraine; Derysh B., WUNU, Department of Computer Engineering, Ternopil, Ukraine; Pazdriy I., WUNU, Department of Computer Engineering, Ternopil, Ukraine; Melnyk G., WUNU, Department of Computer Engineering, Ternopil, Ukraine; Batko Y., WUNU, Department of Computer Engineering, Ternopil, Ukraine","27663655","978-166544257-2",""
"Tverdokhlib V.; Zakomorna K.; Dvukhglavov D.; Oleksin O.; Zhuikov D.; Kryvonos V.","Tverdokhlib, Vitaliy (57188571542); Zakomorna, Kateryna (57222156371); Dvukhglavov, Dmytro (57211294555); Oleksin, Oleksandr (57467913300); Zhuikov, Dmytro (57211236175); Kryvonos, Volodymyr (57468687000)","57188571542; 57222156371; 57211294555; 57467913300; 57211236175; 57468687000","Technology increasing capacity protected channel delivery video data telecommunication systems critical infrastructure","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125298838&doi=10.1109%2fAtit54053.2021.9678736&partnerID=40&md5=46b9aca17b74b27533f1ffe35d22b801","Kharkiv National University of Radio Electronics, Kharkiv, Ukraine; Yaroslav Mudryi National Law University, Kharkiv, Ukraine; National Technical University, Kharkiv Polytechnic institute, Kharkiv, Ukraine; Kharkiv National Air Force University, Kharkiv, Ukraine","Tverdokhlib V., Kharkiv National University of Radio Electronics, Kharkiv, Ukraine; Zakomorna K., Yaroslav Mudryi National Law University, Kharkiv, Ukraine; Dvukhglavov D., National Technical University, Kharkiv Polytechnic institute, Kharkiv, Ukraine; Oleksin O., Kharkiv National Air Force University, Kharkiv, Ukraine; Zhuikov D., Kharkiv National Air Force University, Kharkiv, Ukraine; Kryvonos V., Kharkiv National Air Force University, Kharkiv, Ukraine","","978-166543845-2",""
"Golovin O.","Golovin, Oleksandr (57457028800)","57457028800","Computer-aided Selection of the Optimal Gamma Correction Parameter for Image Enhancement in Video Analytics Systems","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124806399&doi=10.1109%2fIDAACS53288.2021.9660869&partnerID=40&md5=e7cb9a6a70cc70265b37c19c16af0988","V. M. Glushkov Institute of Cybernetics of The NAS of Ukraine, Glushkov Ave""40, Kyiv, 03187, Ukraine","Golovin O., V. M. Glushkov Institute of Cybernetics of The NAS of Ukraine, Glushkov Ave""40, Kyiv, 03187, Ukraine","","978-166542605-3",""
"Barannik V.; Sidchenko S.; Barannik D.; Barannik V.; Hurzhii I.; Babenko Y.","Barannik, Vladimir (27867503300); Sidchenko, Serhii (35796112800); Barannik, Dmitry (57193610360); Barannik, Valeriy (57208632571); Hurzhii, irina (57216158519); Babenko, Yurii (57217113657)","27867503300; 35796112800; 57193610360; 57208632571; 57216158519; 57217113657","Evaluating of the resistance of crypto-compression image codograms to errors in the data transmission channel","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125294759&doi=10.1109%2fAtit54053.2021.9678774&partnerID=40&md5=d9fd8599b23be865a35f9b8336240981","V.N. Karazin Kharkiv National University, Kharkiv, Ukraine; ivan Kozhedub Kharkiv National Air Force University, Kharkiv, Ukraine; Kharkov National University of Radio Electronics, Kharkiv, Ukraine; Military institute of Telecommunications and information Technologies named after Heroes of Kruty, Kyiv, Ukraine; Taras Shevchenko National University of Kyiv, Kyiv, Ukraine","Barannik V., V.N. Karazin Kharkiv National University, Kharkiv, Ukraine; Sidchenko S., ivan Kozhedub Kharkiv National Air Force University, Kharkiv, Ukraine; Barannik D., Kharkov National University of Radio Electronics, Kharkiv, Ukraine; Barannik V., Kharkov National University of Radio Electronics, Kharkiv, Ukraine; Hurzhii I., Military institute of Telecommunications and information Technologies named after Heroes of Kruty, Kyiv, Ukraine; Babenko Y., Taras Shevchenko National University of Kyiv, Kyiv, Ukraine","","978-166543845-2",""
"Barannik V.; Krasnorutsky A.; Ryabukha Y.; Onyshchenko R.; Shulgin S.; Slobodyanyuk O.","Barannik, Vladimir (27867503300); Krasnorutsky, Andrii (55976187900); Ryabukha, Yuriy (56535420500); Onyshchenko, Roman (57439724500); Shulgin, Sergii (57189324397); Slobodyanyuk, Oleksandr (57226387325)","27867503300; 55976187900; 56535420500; 57439724500; 57189324397; 57226387325","Marker information coding for structural clustering of spectral space","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125346731&doi=10.1109%2fAtit54053.2021.9678538&partnerID=40&md5=10da1edd5e42a5e6ab32134d29eff492","information and Network Engineering Department, V.N. Karazin Kharkiv National University, Kharkiv, Ukraine; Combat Use of ASC Department, ivan Kozhedub Kharkiv National Air Force University, Kharkiv, Ukraine; ivan Kozhedub Kharkiv National Air Force University, Kharkiv, Ukraine; Kharkiv National University of Radio Electronics, Kharkiv, Ukraine; Kamianets-Podilskyi National ivan Ohiienko University, Kamianets-Podilskyi, Ukraine","Barannik V., information and Network Engineering Department, V.N. Karazin Kharkiv National University, Kharkiv, Ukraine; Krasnorutsky A., Combat Use of ASC Department, ivan Kozhedub Kharkiv National Air Force University, Kharkiv, Ukraine; Ryabukha Y., ivan Kozhedub Kharkiv National Air Force University, Kharkiv, Ukraine; Onyshchenko R., Kharkiv National University of Radio Electronics, Kharkiv, Ukraine; Shulgin S., Kharkiv National University of Radio Electronics, Kharkiv, Ukraine; Slobodyanyuk O., Kamianets-Podilskyi National ivan Ohiienko University, Kamianets-Podilskyi, Ukraine","","978-166543845-2",""
"Isaieva O.; Avrunin O.","Isaieva, Olha (57218143671); Avrunin, Oleh (35298713200)","57218143671; 35298713200","Properties of Telemedicine while Using Ultraviolet Dermatoscopy","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130974922&doi=10.1109%2fPICST54195.2021.9772230&partnerID=40&md5=8058cb4a82f8e02427b062e6f960aba0","Kharkiv National University of Radioelectronics, Biomedical Engineering, Kharkiv, Ukraine","Isaieva O., Kharkiv National University of Radioelectronics, Biomedical Engineering, Kharkiv, Ukraine; Avrunin O., Kharkiv National University of Radioelectronics, Biomedical Engineering, Kharkiv, Ukraine","","978-166540682-6",""
"Piekarczyk M.; Bar O.; Bibrzycki Ł.; Niedźwiecki M.; Rzecki K.; Stuglik S.; Andersen T.; Budnev N.M.; Alvarez-Castillo D.E.; Cheminant K.A.; Góra D.; Gupta A.C.; Hnatyk B.; Homola P.; Kamiński R.; Kasztelan M.; Knap M.; Kovács P.; Łozowski B.; Miszczyk J.; Mozgova A.; Nazari V.; Pawlik M.; Rosas M.; Sushchov O.; Smelcerz K.; Smolek K.; Stasielak J.; Wibig T.; Woźniak K.W.; Zamora-Saa J.","Piekarczyk, Marcin (36081129300); Bar, Olaf (57225969152); Bibrzycki, Łukasz (8404107200); Niedźwiecki, Michał (57204499733); Rzecki, Krzysztof (55052384900); Stuglik, Sławomir (57219696186); Andersen, Thomas (34167459300); Budnev, Nikolay M. (6603881292); Alvarez-Castillo, David E. (16743688000); Cheminant, Kévin Almeida (57204313519); Góra, Dariusz (10538849800); Gupta, Alok C. (57203811686); Hnatyk, Bohdan (7801346859); Homola, Piotr (10539177100); Kamiński, Robert (7006988142); Kasztelan, Marcin (10539234800); Knap, Marek (57219948315); Kovács, Péter (57214026563); Łozowski, Bartosz (55798780300); Miszczyk, Justyna (56491261100); Mozgova, Alona (57217105774); Nazari, Vahab (56289855700); Pawlik, Maciej (55055652500); Rosas, Matías (57219945999); Sushchov, Oleksandr (55543272900); Smelcerz, Katarzyna (55998927500); Smolek, Karel (35227998400); Stasielak, Jarosław (15832802800); Wibig, Tadeusz (56038836400); Woźniak, Krzysztof W. (58381986200); Zamora-Saa, Jilberto (56135260600)","36081129300; 57225969152; 8404107200; 57204499733; 55052384900; 57219696186; 34167459300; 6603881292; 16743688000; 57204313519; 10538849800; 57203811686; 7801346859; 10539177100; 7006988142; 10539234800; 57219948315; 57214026563; 55798780300; 56491261100; 57217105774; 56289855700; 55055652500; 57219945999; 55543272900; 55998927500; 35227998400; 15832802800; 56038836400; 58381986200; 56135260600","CNN-Based Classifier as an Offline Trigger for the CREDO Experiment","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110012338&doi=10.3390%2fs21144804&partnerID=40&md5=543533453ac0e083b0c8cab96ea651cc","Institute of Computer Science, Pedagogical University of Krakow, Kraków, 30-084, Poland; Faculty of Computer Science and Telecommunications, Cracow University of Technology, Kraków, 31-155, Poland; Department of Biocybernetics and Biomedical Engineering, AGH University of Science and Technology, Kraków, 30-059, Poland; Institute of Nuclear Physics, Polish Academy of Sciences, Kraków, 31-342, Poland; NSCIR, Thornbury, N0H2P0, ON, Canada; Applied Physics Institute, Irkutsk State University, Irkutsk, 664003, Russian Federation; Bogoliubov Laboratory of Theoretical Physics, JINR, 6 Joliot-Curie St, Dubna, 141980, Russian Federation; Aryabhatta Research Institute of Observational Sciences (ARIES), Manora Peak, Nainital, 263001, India; Astronomical Observatory, Taras Shevchenko National University of Kyiv, Kyiv, UA-01033, Ukraine; Astrophysics Division, National Centre for Nuclear Research, 28 Pułku Strzelców Kaniowskich 69, Łódź, 90-558, Poland; Astroparticle Physics Amateur, Dobromierz, 58-170, Poland; Institute for Particle and Nuclear Physics, Wigner Research Centre for Physics, Konkoly-Thege Miklós út 29-33, Budapest, 1121, Hungary; Faculty of Natural Sciences, University of Silesia in Katowice, Bankowa 9, Katowice, 40-007, Poland; Joint Institute for Nuclear Research, Joliot-Curie Street 6, Dubna, 141980, Russian Federation; Institute of Secondary Education, Highschool No. 65, Montevideo, 12000, Uruguay; Institute of Experimental and Applied Physics, Czech Technical University in Prague, Husova 240/5, Prague, 110 00, Czech Republic; Faculty of Physics and Applied Informatics, University of Lodz, Łódź, 90-236, Poland; Departamento de Ciencias Fisicas, Universidad Andres Bello, Santiago, 8370251, Chile","Piekarczyk M., Institute of Computer Science, Pedagogical University of Krakow, Kraków, 30-084, Poland; Bar O., Institute of Computer Science, Pedagogical University of Krakow, Kraków, 30-084, Poland; Bibrzycki Ł., Institute of Computer Science, Pedagogical University of Krakow, Kraków, 30-084, Poland; Niedźwiecki M., Faculty of Computer Science and Telecommunications, Cracow University of Technology, Kraków, 31-155, Poland; Rzecki K., Department of Biocybernetics and Biomedical Engineering, AGH University of Science and Technology, Kraków, 30-059, Poland; Stuglik S., Institute of Nuclear Physics, Polish Academy of Sciences, Kraków, 31-342, Poland; Andersen T., NSCIR, Thornbury, N0H2P0, ON, Canada; Budnev N.M., Applied Physics Institute, Irkutsk State University, Irkutsk, 664003, Russian Federation; Alvarez-Castillo D.E., Institute of Nuclear Physics, Polish Academy of Sciences, Kraków, 31-342, Poland, Bogoliubov Laboratory of Theoretical Physics, JINR, 6 Joliot-Curie St, Dubna, 141980, Russian Federation; Cheminant K.A., Institute of Nuclear Physics, Polish Academy of Sciences, Kraków, 31-342, Poland; Góra D., Institute of Nuclear Physics, Polish Academy of Sciences, Kraków, 31-342, Poland; Gupta A.C., Aryabhatta Research Institute of Observational Sciences (ARIES), Manora Peak, Nainital, 263001, India; Hnatyk B., Astronomical Observatory, Taras Shevchenko National University of Kyiv, Kyiv, UA-01033, Ukraine; Homola P., Institute of Nuclear Physics, Polish Academy of Sciences, Kraków, 31-342, Poland; Kamiński R., Institute of Nuclear Physics, Polish Academy of Sciences, Kraków, 31-342, Poland; Kasztelan M., Astrophysics Division, National Centre for Nuclear Research, 28 Pułku Strzelców Kaniowskich 69, Łódź, 90-558, Poland; Knap M., Astroparticle Physics Amateur, Dobromierz, 58-170, Poland; Kovács P., Institute for Particle and Nuclear Physics, Wigner Research Centre for Physics, Konkoly-Thege Miklós út 29-33, Budapest, 1121, Hungary; Łozowski B., Faculty of Natural Sciences, University of Silesia in Katowice, Bankowa 9, Katowice, 40-007, Poland; Miszczyk J., Institute of Nuclear Physics, Polish Academy of Sciences, Kraków, 31-342, Poland; Mozgova A., Astronomical Observatory, Taras Shevchenko National University of Kyiv, Kyiv, UA-01033, Ukraine; Nazari V., Joint Institute for Nuclear Research, Joliot-Curie Street 6, Dubna, 141980, Russian Federation; Pawlik M., Department of Biocybernetics and Biomedical Engineering, AGH University of Science and Technology, Kraków, 30-059, Poland; Rosas M., Institute of Secondary Education, Highschool No. 65, Montevideo, 12000, Uruguay; Sushchov O., Institute of Nuclear Physics, Polish Academy of Sciences, Kraków, 31-342, Poland; Smelcerz K., Faculty of Computer Science and Telecommunications, Cracow University of Technology, Kraków, 31-155, Poland; Smolek K., Institute of Experimental and Applied Physics, Czech Technical University in Prague, Husova 240/5, Prague, 110 00, Czech Republic; Stasielak J., Institute of Nuclear Physics, Polish Academy of Sciences, Kraków, 31-342, Poland; Wibig T., Faculty of Physics and Applied Informatics, University of Lodz, Łódź, 90-236, Poland; Woźniak K.W., Institute of Nuclear Physics, Polish Academy of Sciences, Kraków, 31-342, Poland; Zamora-Saa J., Departamento de Ciencias Fisicas, Universidad Andres Bello, Santiago, 8370251, Chile","14248220","",""
"Vadym K.; Viktor S.; Uriy M.","Vadym, Kalmykov (57433809000); Viktor, Sineglazov (6601983603); Uriy, Melnyk (57432799500)","57433809000; 6601983603; 57432799500","UAV Data Processing using the YOLOv5 Neural Network","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123789321&doi=10.1109%2fAPUAVD53804.2021.9615176&partnerID=40&md5=23ea41a6efcae7d64664f6ba060f0b91","National Aviation University, Department of Aviation Computer-Integrated Complexes, Kyiv, Ukraine","Vadym K., National Aviation University, Department of Aviation Computer-Integrated Complexes, Kyiv, Ukraine; Viktor S., National Aviation University, Department of Aviation Computer-Integrated Complexes, Kyiv, Ukraine; Uriy M., National Aviation University, Department of Aviation Computer-Integrated Complexes, Kyiv, Ukraine","","978-166543822-3",""
"Malakhova O.; Averyanova L.; Maznyk N.","Malakhova, Olena (57221961256); Averyanova, Lilya (57200986251); Maznyk, Natalie (6507659355)","57221961256; 57200986251; 6507659355","Investigation of the Properties of Digital Chromosome Microscopy Images for the Telemedicine Applications","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130946855&doi=10.1109%2fPICST54195.2021.9772164&partnerID=40&md5=f9b92a8e97c3e14c850085edff142ddc","Kharkiv National University of Radio Electronics, Biomedical Engineering Department, Kharkiv, Ukraine; Grigoriev Institute For Medical Radiology And Oncology, The National Academy of Medical Sciences of Ukraine, Radiation Cytogenetics Laboratory, Kharkiv, Ukraine","Malakhova O., Kharkiv National University of Radio Electronics, Biomedical Engineering Department, Kharkiv, Ukraine; Averyanova L., Kharkiv National University of Radio Electronics, Biomedical Engineering Department, Kharkiv, Ukraine; Maznyk N., Grigoriev Institute For Medical Radiology And Oncology, The National Academy of Medical Sciences of Ukraine, Radiation Cytogenetics Laboratory, Kharkiv, Ukraine","","978-166540682-6",""
"Surkov Y.; Shkuratov Y.; Kaydash V.; Velichko S.; Korokhin V.; Videen G.","Surkov, Yehor (57204581735); Shkuratov, Yuriy (7003941622); Kaydash, Vadym (6508209235); Velichko, Sergey (14831813300); Korokhin, Viktor (6508015051); Videen, Gorden (35306297300)","57204581735; 7003941622; 6508209235; 14831813300; 6508015051; 35306297300","Characterizing southern portion of Mare Vaporum with improved Chandrayaan-1 M3 data","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092193756&doi=10.1016%2fj.icarus.2020.114123&partnerID=40&md5=c5dbf29de75b2dd3681ba84c42176333","V.N. Karazin Kharkiv National University, 35 Sumska St, Kharkiv, 61022, Ukraine; Space Science Institute, 4750 Walnut St. Suite 205, Boulder, 80301, CO, United States","Surkov Y., V.N. Karazin Kharkiv National University, 35 Sumska St, Kharkiv, 61022, Ukraine; Shkuratov Y., V.N. Karazin Kharkiv National University, 35 Sumska St, Kharkiv, 61022, Ukraine; Kaydash V., V.N. Karazin Kharkiv National University, 35 Sumska St, Kharkiv, 61022, Ukraine; Velichko S., V.N. Karazin Kharkiv National University, 35 Sumska St, Kharkiv, 61022, Ukraine; Korokhin V., V.N. Karazin Kharkiv National University, 35 Sumska St, Kharkiv, 61022, Ukraine; Videen G., Space Science Institute, 4750 Walnut St. Suite 205, Boulder, 80301, CO, United States","00191035","","ICRSA"
"Sevruk A.; Babiy L.; Babushka A.; Chetverikov B.","Sevruk, A. (57486280800); Babiy, L. (57224949058); Babushka, A. (57224947930); Chetverikov, B. (57224954978)","57486280800; 57224949058; 57224947930; 57224954978","Study of forest fires according to remote sensing data (on the example of the Chornobyl exclusion zone)","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126247168&doi=10.3997%2f2214-4609.20215K3010&partnerID=40&md5=8627b067a2bad11ef1c52933a749831c","Lviv Polytechnic National University, Ukraine","Sevruk A., Lviv Polytechnic National University, Ukraine; Babiy L., Lviv Polytechnic National University, Ukraine; Babushka A., Lviv Polytechnic National University, Ukraine; Chetverikov B., Lviv Polytechnic National University, Ukraine","","978-946282410-2",""
"Bodyanskiy Y.; Chala O.; Deineko A.; Pliss I.","Bodyanskiy, Yevgeniy (13105377000); Chala, Olha (57211128569); Deineko, Anastasiya (56940612600); Pliss, Iryna (6506130334)","13105377000; 57211128569; 56940612600; 6506130334","Fast Image Recognition Using Double Hyper Basis Function Neural Network and Its Combined Learning","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124792385&doi=10.1109%2fCSIT52700.2021.9648723&partnerID=40&md5=eb3434766de8ef3521fea278b2ed807d","Kharkiv National University of Radio Electronics, Artificial Intelligence Department, Kharkiv, Ukraine; Kharkiv National University of Radio Electronics, Control Systems Research Laboratory, Kharkiv, Ukraine","Bodyanskiy Y., Kharkiv National University of Radio Electronics, Artificial Intelligence Department, Kharkiv, Ukraine; Chala O., Kharkiv National University of Radio Electronics, Artificial Intelligence Department, Kharkiv, Ukraine; Deineko A., Kharkiv National University of Radio Electronics, Artificial Intelligence Department, Kharkiv, Ukraine; Pliss I., Kharkiv National University of Radio Electronics, Control Systems Research Laboratory, Kharkiv, Ukraine","27663655","978-166544257-2",""
"Khmelevskiy S.; Tupitsya I.; Parkhomenko M.; Borovensky Y.","Khmelevskiy, Serhii (57208334811); Tupitsya, Ivan (57188760033); Parkhomenko, Maksim (57210415371); Borovensky, Yan (57808564000)","57208334811; 57188760033; 57210415371; 57808564000","Model of Transformation of the Alphabet of the Encoded Data as a Tool to Provide the Necessary Level of Video Image Quality in Aeromonitoring Systems","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136245664&partnerID=40&md5=e746fd5b726d8d7b545075137ead0859","Ivan Kozhedub Kharkiv National Air Force University, Sumskaya Str. 77/79, Kharkiv, 61000, Ukraine","Khmelevskiy S., Ivan Kozhedub Kharkiv National Air Force University, Sumskaya Str. 77/79, Kharkiv, 61000, Ukraine; Tupitsya I., Ivan Kozhedub Kharkiv National Air Force University, Sumskaya Str. 77/79, Kharkiv, 61000, Ukraine; Parkhomenko M., Ivan Kozhedub Kharkiv National Air Force University, Sumskaya Str. 77/79, Kharkiv, 61000, Ukraine; Borovensky Y., Ivan Kozhedub Kharkiv National Air Force University, Sumskaya Str. 77/79, Kharkiv, 61000, Ukraine","16130073","",""
"Tymkovych M.; Selivanova K.; Avrunin O.; Gryshkov O.","Tymkovych, Maksym (56685704800); Selivanova, Karina (57191737209); Avrunin, Oleg (35298713200); Gryshkov, Oleksandr (55977347100)","56685704800; 57191737209; 35298713200; 55977347100","Detection of Chest Deviation During Breathing Using a Depth Camera","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130964565&doi=10.1109%2fPICST54195.2021.9772111&partnerID=40&md5=b82a2f3250fe04f243fb641c8552ccb5","Kharkiv National University of Radio Electronics, Department of Biomedical Engineering, Kharkiv, Ukraine; Institute For Multiphase Processes, Leibniz University, Lower Saxony Centre For Biomedical Engineering, Hannover, Germany","Tymkovych M., Kharkiv National University of Radio Electronics, Department of Biomedical Engineering, Kharkiv, Ukraine; Selivanova K., Kharkiv National University of Radio Electronics, Department of Biomedical Engineering, Kharkiv, Ukraine; Avrunin O., Kharkiv National University of Radio Electronics, Department of Biomedical Engineering, Kharkiv, Ukraine; Gryshkov O., Institute For Multiphase Processes, Leibniz University, Lower Saxony Centre For Biomedical Engineering, Hannover, Germany","","978-166540682-6",""
"Ruban I.; Khudov H.; Makoveichuk O.; Khizhnyak I.; Khudov V.; Maliuha V.; Yuzova I.; Serdiuk O.","Ruban, Igor (7004018101); Khudov, Hennadii (57196079841); Makoveichuk, Oleksandr (57196074907); Khizhnyak, Irina (57196075236); Khudov, Vladyslav (57196077962); Maliuha, Volodymyr (57234833100); Yuzova, Iryna (57210884127); Serdiuk, Oleksii (57603723200)","7004018101; 57196079841; 57196074907; 57196075236; 57196077962; 57234833100; 57210884127; 57603723200","The Development of a Forecasting Model for the Situation Based on Space Images","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124805151&doi=10.1109%2fCSIT52700.2021.9648685&partnerID=40&md5=d921143cc8a740eecb80a7224ef35c87","Kharkiv National University of Radio Electronics, Kharkiv, Ukraine; Ivan Kozhedub Kharkiv National Air Force University, Kharkiv, Ukraine","Ruban I., Kharkiv National University of Radio Electronics, Kharkiv, Ukraine; Khudov H., Ivan Kozhedub Kharkiv National Air Force University, Kharkiv, Ukraine; Makoveichuk O., Kharkiv National University of Radio Electronics, Kharkiv, Ukraine; Khizhnyak I., Ivan Kozhedub Kharkiv National Air Force University, Kharkiv, Ukraine; Khudov V., Kharkiv National University of Radio Electronics, Kharkiv, Ukraine; Maliuha V., Ivan Kozhedub Kharkiv National Air Force University, Kharkiv, Ukraine; Yuzova I., Ivan Kozhedub Kharkiv National Air Force University, Kharkiv, Ukraine; Serdiuk O., Ivan Kozhedub Kharkiv National Air Force University, Kharkiv, Ukraine","27663655","978-166544257-2",""
"Azarov O.; Krupelnitskyi L.; Rakytyanska H.; Fesl J.","Azarov, Olexiy (55644480800); Krupelnitskyi, Leonid (57194174708); Rakytyanska, Hanna (6505831119); Fesl, Jan (56664455000)","55644480800; 57194174708; 6505831119; 56664455000","Reconstruction of Acoustic Surfaces from Incomplete Data as an Identification Problem Based on Fuzzy Relations","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127168987&partnerID=40&md5=d83de47dfe5c64bf9b2e3dfb6fdbc00e","Vinnytsa National Technical University, Khmelnitske Shosse 95, Vinnytsia, 21021, Ukraine; Czech Technical University in Prague, Jugoslávských partyzánů 1580/3 6 Dejvice, Prague, 160 00, Czech Republic","Azarov O., Vinnytsa National Technical University, Khmelnitske Shosse 95, Vinnytsia, 21021, Ukraine; Krupelnitskyi L., Vinnytsa National Technical University, Khmelnitske Shosse 95, Vinnytsia, 21021, Ukraine; Rakytyanska H., Vinnytsa National Technical University, Khmelnitske Shosse 95, Vinnytsia, 21021, Ukraine; Fesl J., Czech Technical University in Prague, Jugoslávských partyzánů 1580/3 6 Dejvice, Prague, 160 00, Czech Republic","16130073","",""
"Megel Y.; Kutsenko A.; Blagov I.; Kovalenko S.; Kovalenko S.; Malko M.; Rybalka A.","Megel, Yury (19934020100); Kutsenko, Alexander (57220184589); Blagov, Ivaylo (57203343506); Kovalenko, Svitlana (57212035934); Kovalenko, Sergii (57208851362); Malko, Maksym (57419897800); Rybalka, Antonina (57216346667)","19934020100; 57220184589; 57203343506; 57212035934; 57208851362; 57419897800; 57216346667","Information System for Automating Processes of Biological Objects Detection, Recognition, and Measurement","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123214890&doi=10.1109%2fMMA52675.2021.9610832&partnerID=40&md5=d36f8b4d8d1af235b8f18f87c96fe8f0","Kharkiv Petro Vasylenko National Technical University of Agriculture, Dept. of Cybernetics, Kharkiv, Ukraine; National Technical University 'Khpi', Dept. of System Analysis and Information-Analytical Technologies, Kharkiv, Ukraine; Technical University of Sofia, Dept. of Precision Engineering and Measurement Instruments, Sofia, Bulgaria; National Technical University 'Khpi', Dept. of Software Engineering and Management Information Technologies, Kharkiv, Ukraine; Kharkiv National University of Radio Electronics, Dept. of Physics, Kharkiv, Ukraine","Megel Y., Kharkiv Petro Vasylenko National Technical University of Agriculture, Dept. of Cybernetics, Kharkiv, Ukraine; Kutsenko A., National Technical University 'Khpi', Dept. of System Analysis and Information-Analytical Technologies, Kharkiv, Ukraine; Blagov I., Technical University of Sofia, Dept. of Precision Engineering and Measurement Instruments, Sofia, Bulgaria; Kovalenko S., National Technical University 'Khpi', Dept. of Software Engineering and Management Information Technologies, Kharkiv, Ukraine; Kovalenko S., National Technical University 'Khpi', Dept. of System Analysis and Information-Analytical Technologies, Kharkiv, Ukraine; Malko M., National Technical University 'Khpi', Dept. of System Analysis and Information-Analytical Technologies, Kharkiv, Ukraine; Rybalka A., Kharkiv National University of Radio Electronics, Dept. of Physics, Kharkiv, Ukraine","","978-166544537-5",""
"Tymochko O.; Open'ko P.; Larin V.","Tymochko, Oleksandr (57211470277); Open'ko, Pavlo (57195547590); Larin, Volodymyr (55816400300)","57211470277; 57195547590; 55816400300","Evaluation of the Consistency Between the Network's Characteristics and the Video Data Traffic in Computer Systems","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130875176&doi=10.1109%2fPICST54195.2021.9772220&partnerID=40&md5=75500ee8a0250f8983c6fc95c7530027","Ivan Kozhedub Kharkiv National Air Force University, Kharkiv, Ukraine; National Defense University of Ukraine Named After Ivan Cherniakhovskyi, Kyiv, Ukraine","Tymochko O., Ivan Kozhedub Kharkiv National Air Force University, Kharkiv, Ukraine; Open'ko P., National Defense University of Ukraine Named After Ivan Cherniakhovskyi, Kyiv, Ukraine; Larin V., Ivan Kozhedub Kharkiv National Air Force University, Kharkiv, Ukraine","","978-166540682-6",""
