"Authors","Author full names","Author(s) ID","Title","Year","Link","Affiliations","Authors with affiliations","ISSN","ISBN","CODEN"
"Li F.; Krivenko S.; Lukin V.","Li, Fangfang (57217115056); Krivenko, Sergey (58309781700); Lukin, Vladimir (7102438809)","57217115056; 58309781700; 7102438809","An approach to Better Portable Graphics (BPG) compression with providing a desired quality","2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101674774&doi=10.1109%2fATIT50783.2020.9349289&partnerID=40&md5=2875fa9e31109f17db5f46d274cb9829","National Aerospace University - KhAI, Dept of Information-Communication Technologies, Kharkiv, Ukraine","Li F., National Aerospace University - KhAI, Dept of Information-Communication Technologies, Kharkiv, Ukraine; Krivenko S., National Aerospace University - KhAI, Dept of Information-Communication Technologies, Kharkiv, Ukraine; Lukin V., National Aerospace University - KhAI, Dept of Information-Communication Technologies, Kharkiv, Ukraine","","978-172819799-9",""
"Nevliudov I.; Novoselov S.; Sychova O.; Tesliuk S.","Nevliudov, Igor (57216434058); Novoselov, Sergiy (57201604404); Sychova, Oksana (16647283500); Tesliuk, Serhii (57211145204)","57216434058; 57201604404; 16647283500; 57211145204","Development of the Architecture of the Base Platform Agricultural Robot for Determining the Trajectory Using the Method of Visual Odometry","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116324153&doi=10.1109%2fMEMSTECH53091.2021.9468008&partnerID=40&md5=454d2028347188c2b0a1f332843037de","Kharkiv National University of Radio Electronics, Department of Computer-Integrated Technologies Automation and Mechatronics, Kharkiv, Ukraine","Nevliudov I., Kharkiv National University of Radio Electronics, Department of Computer-Integrated Technologies Automation and Mechatronics, Kharkiv, Ukraine; Novoselov S., Kharkiv National University of Radio Electronics, Department of Computer-Integrated Technologies Automation and Mechatronics, Kharkiv, Ukraine; Sychova O., Kharkiv National University of Radio Electronics, Department of Computer-Integrated Technologies Automation and Mechatronics, Kharkiv, Ukraine; Tesliuk S., Kharkiv National University of Radio Electronics, Department of Computer-Integrated Technologies Automation and Mechatronics, Kharkiv, Ukraine","25735373","978-166542410-3",""
"Rusak D.; Pidchosa O.; Filipenko A.","Rusak, Denys (57226281969); Pidchosa, Oleksandr (57217874909); Filipenko, Anton (57226286718)","57226281969; 57217874909; 57226286718","Digital Economic Networks in the Context of Global Transformations","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111051456&doi=10.25115%2feea.v39i6.5161&partnerID=40&md5=f754ca2affacbc6becaa444b3883dbd2","Department of World Economy and International Economic Relations, Taras Shevchenko National University of Kyiv, Ukraine; Department of International Finance, Taras Shevchenko National University of Kyiv, Ukraine","Rusak D., Department of World Economy and International Economic Relations, Taras Shevchenko National University of Kyiv, Ukraine; Pidchosa O., Department of International Finance, Taras Shevchenko National University of Kyiv, Ukraine; Filipenko A., Department of World Economy and International Economic Relations, Taras Shevchenko National University of Kyiv, Ukraine","11333197","",""
"Chepurnyi Y.; Chernogorskyi D.; Kopchak A.; Petrenko O.","Chepurnyi, Yurii (57201462644); Chernogorskyi, Denis (57204239133); Kopchak, Andrey (6507353761); Petrenko, Oksana (7006410898)","57201462644; 57204239133; 6507353761; 7006410898","Clinical efficacy of peek patient-specific implants in orbital reconstruction","2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079416395&doi=10.1016%2fj.jobcr.2020.01.006&partnerID=40&md5=ce9c93bfa2ba1f2e409a024853fe2229","Bogomolets National Medical University, Stomatological Department, Division of Maxillofacial Surgery, 13, T. Shevchenko blvd, Kiev, 01601, Ukraine; Shupyk National Medical Academy of Postgraduate Education, Division of Ophtalmology, 9 Dorohozhytska Str., Kiev, 04112, Ukraine","Chepurnyi Y., Bogomolets National Medical University, Stomatological Department, Division of Maxillofacial Surgery, 13, T. Shevchenko blvd, Kiev, 01601, Ukraine; Chernogorskyi D., Bogomolets National Medical University, Stomatological Department, Division of Maxillofacial Surgery, 13, T. Shevchenko blvd, Kiev, 01601, Ukraine; Kopchak A., Bogomolets National Medical University, Stomatological Department, Division of Maxillofacial Surgery, 13, T. Shevchenko blvd, Kiev, 01601, Ukraine; Petrenko O., Shupyk National Medical Academy of Postgraduate Education, Division of Ophtalmology, 9 Dorohozhytska Str., Kiev, 04112, Ukraine","22124268","",""
"Yakovleva O.; Slyusar V.; Kushnir O.; Sabovchyk A.","Yakovleva, Olena (57217186926); Slyusar, Vadym (58046183500); Kushnir, Olga (57216005305); Sabovchyk, Antonina (57212620380)","57217186926; 58046183500; 57216005305; 57212620380","New Trends in Scientific and Technological revolution (STR) and Transformation of Science and Education Systems in the Paradigm of Sustainable Development","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145874512&doi=10.1051%2fe3sconf%2f202127706006&partnerID=40&md5=6a5404638aebc0ceeaa1062415d8f4b8","Doctor of Philosophical Sciences, Rector Kyiv Institute of Business and Technology, Kyiv, Ukraine; Doctor of Sciences (Philosophy), The Department of Philosophy and Political Science, Zhytomyr Ivan Franko State University, Zhytomyr, Ukraine; PhD in Philosophical Sciences, Vice-rector Kyiv Institute of Business and Technology, Kyiv, Ukraine; Candidate of Law, The Department of Civil Law and Procedure, Uzhhorod National University, Uzhhorod, Ukraine","Yakovleva O., Doctor of Philosophical Sciences, Rector Kyiv Institute of Business and Technology, Kyiv, Ukraine; Slyusar V., Doctor of Sciences (Philosophy), The Department of Philosophy and Political Science, Zhytomyr Ivan Franko State University, Zhytomyr, Ukraine; Kushnir O., PhD in Philosophical Sciences, Vice-rector Kyiv Institute of Business and Technology, Kyiv, Ukraine; Sabovchyk A., Candidate of Law, The Department of Civil Law and Procedure, Uzhhorod National University, Uzhhorod, Ukraine","25550403","",""
"Mykheievskyi D.; Borysenko D.; Porokhonskyy V.","Mykheievskyi, Dmytro (57222568573); Borysenko, Dmytro (57193518359); Porokhonskyy, Viktor (6602584042)","57222568573; 57193518359; 6602584042","Learning Local Feature Descriptors for Multiple Object Tracking","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103289983&doi=10.1007%2f978-3-030-69532-3_34&partnerID=40&md5=ec1efe329af67f53b571efe49c02fa2c","Samsung R&D Institute Ukraine (SRK), 57 L’va Tolstogo Street, Kyiv, 01032, Ukraine","Mykheievskyi D., Samsung R&D Institute Ukraine (SRK), 57 L’va Tolstogo Street, Kyiv, 01032, Ukraine; Borysenko D., Samsung R&D Institute Ukraine (SRK), 57 L’va Tolstogo Street, Kyiv, 01032, Ukraine; Porokhonskyy V., Samsung R&D Institute Ukraine (SRK), 57 L’va Tolstogo Street, Kyiv, 01032, Ukraine","03029743","978-303069531-6",""
"Biloborodova T.; Koverha M.; Skarga-Bandurova I.; Yevsieieva Y.; Skarha-Bandurov I.","Biloborodova, Tetiana (57195589622); Koverha, Mark (57361512900); Skarga-Bandurova, Inna (56946900400); Yevsieieva, Yelyzaveta (57360754000); Skarha-Bandurov, Illia (57208247541)","57195589622; 57361512900; 56946900400; 57360754000; 57208247541","Deep Oversampling Technique for 4-Level Acne Classification in Imbalanced Data","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129240304&doi=10.1007%2f978-981-16-7618-5_26&partnerID=40&md5=a19f762a001781e7c92c1d3f702dbb2f","G.E. Pukhov Institute for Modelling in Energy Engineering, 15 General Naumov Str., Kyiv, 03164, Ukraine; Department of Computer Science and Engineering, Volodymyr Dahl East Ukrainian National University, 43 Donetska Street, Severodonetsk, 93400, Ukraine; School of Engineering, Computing and Mathematics, Oxford Brookes University, Wheatley Campus, Oxford, OX33 1HX, United Kingdom; School of Medicine, V. N. Karazin, Kharkiv National University, 4 Svobody Square, Kharkiv, 61002, Ukraine; Luhansk State Medical University, 32 Budivel’nykiv Street, Rubizhne, 93012, Ukraine","Biloborodova T., G.E. Pukhov Institute for Modelling in Energy Engineering, 15 General Naumov Str., Kyiv, 03164, Ukraine; Koverha M., Department of Computer Science and Engineering, Volodymyr Dahl East Ukrainian National University, 43 Donetska Street, Severodonetsk, 93400, Ukraine; Skarga-Bandurova I., School of Engineering, Computing and Mathematics, Oxford Brookes University, Wheatley Campus, Oxford, OX33 1HX, United Kingdom; Yevsieieva Y., School of Medicine, V. N. Karazin, Kharkiv National University, 4 Svobody Square, Kharkiv, 61002, Ukraine; Skarha-Bandurov I., Luhansk State Medical University, 32 Budivel’nykiv Street, Rubizhne, 93012, Ukraine","23673370","978-981167617-8",""
"Prasolov A.; Stirenko S.; Gordienko Y.","Prasolov, Andrii (57282627600); Stirenko, Sergii (54421204800); Gordienko, Yuri (6701855242)","57282627600; 54421204800; 6701855242","Improvement of image super resolution by deep neural networks","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116268246&doi=10.1109%2fEUROCON52738.2021.9535575&partnerID=40&md5=b4fc24b9b93977fa2b22a6c21cfd43af","National Technical University of Ukraine, Igor Sikorsky Kyiv Polytechnic Institute, Kyiv, Ukraine","Prasolov A., National Technical University of Ukraine, Igor Sikorsky Kyiv Polytechnic Institute, Kyiv, Ukraine; Stirenko S., National Technical University of Ukraine, Igor Sikorsky Kyiv Polytechnic Institute, Kyiv, Ukraine; Gordienko Y., National Technical University of Ukraine, Igor Sikorsky Kyiv Polytechnic Institute, Kyiv, Ukraine","","978-166543299-3",""
"Kotsur D.; Tereshchenko V.","Kotsur, Dmytro (56951322300); Tereshchenko, Vasyl (35319035700)","56951322300; 35319035700","An optimized algorithm for computing the Voronoi skeleton","2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103322212&doi=10.47839%2fijc.19.4.1987&partnerID=40&md5=900c5dfe6c22d77f4a4a89e04f57df99","Taras Shevchenko National University of Kyiv, 4d Academician Glushkov Avenue, Kyiv, 03680, Ukraine","Kotsur D., Taras Shevchenko National University of Kyiv, 4d Academician Glushkov Avenue, Kyiv, 03680, Ukraine; Tereshchenko V., Taras Shevchenko National University of Kyiv, 4d Academician Glushkov Avenue, Kyiv, 03680, Ukraine","17276209","",""
"Semerikov S.O.; Vakaliuk T.A.; Mintii I.S.; Hamaniuk V.A.; Soloviev V.N.; Bondarenko O.V.; Nechypurenko P.P.; Shokaliuk S.V.; Moiseienko N.V.; Ruban V.R.","Semerikov, Serhiy O. (56375008500); Vakaliuk, Tetiana A. (57211133927); Mintii, Iryna S. (57204971103); Hamaniuk, Vita A. (57211133844); Soloviev, Vladimir N. (7005535906); Bondarenko, Olga V. (57211133711); Nechypurenko, Pavlo P. (57194519666); Shokaliuk, Svitlana V. (57202442074); Moiseienko, Natalia V. (57205434015); Ruban, Vitalii R. (57609625200)","56375008500; 57211133927; 57204971103; 57211133844; 7005535906; 57211133711; 57194519666; 57202442074; 57205434015; 57609625200","Mask and emotion: Computer vision in the age of COVID-19","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128684547&doi=10.1145%2f3526242.3526263&partnerID=40&md5=0d22a16087ee85903d6d6cd38fd51c2f","Kryvyi Rih State Pedagogical University, Ukraine and Kryvyi Rih National University, Ukraine; Zhytomyr Polytechnic State University, Ukraine and Institute for Digitalisation of Education of the NAES of Ukraine, Ukraine; Kryvyi Rih State Pedagogical University, Ukraine and Institute for Digitalisation of Education of the NAES of Ukraine, Ukraine; Kryvyi Rih State Pedagogical University, Ukraine","Semerikov S.O., Kryvyi Rih State Pedagogical University, Ukraine and Kryvyi Rih National University, Ukraine; Vakaliuk T.A., Zhytomyr Polytechnic State University, Ukraine and Institute for Digitalisation of Education of the NAES of Ukraine, Ukraine; Mintii I.S., Kryvyi Rih State Pedagogical University, Ukraine and Institute for Digitalisation of Education of the NAES of Ukraine, Ukraine; Hamaniuk V.A., Kryvyi Rih State Pedagogical University, Ukraine; Soloviev V.N., Kryvyi Rih State Pedagogical University, Ukraine; Bondarenko O.V., Kryvyi Rih State Pedagogical University, Ukraine; Nechypurenko P.P., Kryvyi Rih State Pedagogical University, Ukraine; Shokaliuk S.V., Kryvyi Rih State Pedagogical University, Ukraine; Moiseienko N.V., Kryvyi Rih State Pedagogical University, Ukraine; Ruban V.R., Kryvyi Rih State Pedagogical University, Ukraine","","978-145038736-1",""
"Andon P.; Hlybovets A.; Kuryliak V.","Andon, Philip (57223996352); Hlybovets, Andrii (54881960600); Kuryliak, Volodymir (57223994409)","57223996352; 54881960600; 57223994409","Developing a semantic image model using machine learning based on convolutional neural networks","2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106717608&partnerID=40&md5=e87d8341a4d2675123c99a974a041032","Institute of Software Systems of the National Academy of Sciences of Ukraine, 40 Akademika Glushkova Avenue, Kyiv, 03187, Ukraine; National University Kyiv-Mohyla Academy, 2 Skovorody vul., Kyiv, 04070, Ukraine","Andon P., Institute of Software Systems of the National Academy of Sciences of Ukraine, 40 Akademika Glushkova Avenue, Kyiv, 03187, Ukraine; Hlybovets A., National University Kyiv-Mohyla Academy, 2 Skovorody vul., Kyiv, 04070, Ukraine; Kuryliak V., National University Kyiv-Mohyla Academy, 2 Skovorody vul., Kyiv, 04070, Ukraine","16130073","",""
"Amarii A.; Melnychuk S.; Tanasyuk Y.","Amarii, Anatolii (57642716500); Melnychuk, Stepan (6601953964); Tanasyuk, Yuliya (58727612300)","57642716500; 6601953964; 58727612300","Obstacles and Traffic Signs Tracking System","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128934934&partnerID=40&md5=be5cc2da587c84773f6d5910e7cf5817","Yuriy Fedkovych Chernivtsi National University, Kotsyubynsky 2, Chernivtsi, 58012, Ukraine","Amarii A., Yuriy Fedkovych Chernivtsi National University, Kotsyubynsky 2, Chernivtsi, 58012, Ukraine; Melnychuk S., Yuriy Fedkovych Chernivtsi National University, Kotsyubynsky 2, Chernivtsi, 58012, Ukraine; Tanasyuk Y., Yuriy Fedkovych Chernivtsi National University, Kotsyubynsky 2, Chernivtsi, 58012, Ukraine","16130073","",""
"Bezdetko P.","Bezdetko, P. (6602894386)","6602894386","Smartphone ""inside out""","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105520719&doi=10.34883%2fPI.2021.11.1.008&partnerID=40&md5=ae90b63125bedcb9685f86817c004eb0","Kharkiv National Medical University, Kharkiv, Ukraine","Bezdetko P., Kharkiv National Medical University, Kharkiv, Ukraine","22260803","",""
"Bodyanskiy Y.; Kulishova N.","Bodyanskiy, Yevgeniy (13105377000); Kulishova, Nonna (25625157400)","13105377000; 25625157400","Multidimensional Neuro-fuzzy System and Fuzzy Coding for a Constant Length Facial Landmark Set Formation","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124805890&doi=10.1109%2fIDAACS53288.2021.9660907&partnerID=40&md5=3da9136308a7d9dfcebaf8da6c0a0c11","Control Systems Research Laboratory, Kharkiv National University of Radioelectronics, Kharkiv, Ukraine; Kharkiv National University of Radioelectronics, Media Systems and Technologies Department, Kharkiv, Ukraine","Bodyanskiy Y., Control Systems Research Laboratory, Kharkiv National University of Radioelectronics, Kharkiv, Ukraine; Kulishova N., Kharkiv National University of Radioelectronics, Media Systems and Technologies Department, Kharkiv, Ukraine","","978-166542605-3",""
"Gofaizen O.; Mazurkiewicz O.","Gofaizen, Oleg (6506227988); Mazurkiewicz, Olena (57200269417)","6506227988; 57200269417","Two Approaches to Colour Management in Video Applications","2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086311533&doi=10.1109%2fTCSET49122.2020.235429&partnerID=40&md5=2a72e3a2d3ad6f598b044e6c4a214032","O.S. Popov Odessa National Academy of Telecommunication, Television and Sound Broadcasting Department, Odessa, Ukraine","Gofaizen O., O.S. Popov Odessa National Academy of Telecommunication, Television and Sound Broadcasting Department, Odessa, Ukraine; Mazurkiewicz O., O.S. Popov Odessa National Academy of Telecommunication, Television and Sound Broadcasting Department, Odessa, Ukraine","","978-172815566-1",""
"Nevludov I.; Sychova O.; Reznichenko O.; Novoselov S.; Mospan D.; Mospan V.","Nevludov, Igor (57216434058); Sychova, Oksana (16647283500); Reznichenko, Oleksii (57423648500); Novoselov, Sergiy (57201604404); Mospan, Denis (56707349700); Mospan, Vladyslav (57211999374)","57216434058; 16647283500; 57423648500; 57201604404; 56707349700; 57211999374","Control System for Agricultural Robot Based on ROS","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123370376&doi=10.1109%2fMEES52427.2021.9598560&partnerID=40&md5=c3e418c177d3637ee6d81fa8e300a58d","Automation and Mechatronics Kharkiv National University of Radioelectronics, Department of Computer-Integrated Technologies, Kharkiv, Ukraine; LLC 'RPC' Robotec', CEO, Kyiv, Ukraine; Kremenchuk Mykhailo Ostrohradskyi National University, Electronic Devices' Department, Kremenchuk, Ukraine","Nevludov I., Automation and Mechatronics Kharkiv National University of Radioelectronics, Department of Computer-Integrated Technologies, Kharkiv, Ukraine; Sychova O., Automation and Mechatronics Kharkiv National University of Radioelectronics, Department of Computer-Integrated Technologies, Kharkiv, Ukraine; Reznichenko O., LLC 'RPC' Robotec', CEO, Kyiv, Ukraine; Novoselov S., Automation and Mechatronics Kharkiv National University of Radioelectronics, Department of Computer-Integrated Technologies, Kharkiv, Ukraine; Mospan D., Kremenchuk Mykhailo Ostrohradskyi National University, Electronic Devices' Department, Kremenchuk, Ukraine; Mospan V., Kremenchuk Mykhailo Ostrohradskyi National University, Electronic Devices' Department, Kremenchuk, Ukraine","","978-166542366-3",""
"Lochman Y.; Dobosevych O.; Hryniv R.; Pritts J.","Lochman, Yaroslava (57216248882); Dobosevych, Oles (57215968839); Hryniv, Rostyslav (6602147275); Pritts, James (56042590800)","57216248882; 57215968839; 6602147275; 56042590800","Minimal solvers for single-view lens-distorted camera auto-calibration","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115870185&doi=10.1109%2fWACV48630.2021.00293&partnerID=40&md5=d6273b17e043bd2572dda4766ab6ae37","Ukrainian Catholic University in Lviv, Machine Learning Lab, Ukraine; Facebook Reality Labs in Pittsburgh","Lochman Y., Ukrainian Catholic University in Lviv, Machine Learning Lab, Ukraine, Facebook Reality Labs in Pittsburgh; Dobosevych O., Ukrainian Catholic University in Lviv, Machine Learning Lab, Ukraine; Hryniv R., Ukrainian Catholic University in Lviv, Machine Learning Lab, Ukraine; Pritts J., Facebook Reality Labs in Pittsburgh","","978-073814266-1",""
"Daradkeh Y.I.; Gorokhovatskyi V.; Tvoroshenko I.; Gadetska S.; Al-Dhaifallah M.","Daradkeh, Yousef Ibrahim (55165394800); Gorokhovatskyi, Volodymyr (6506997369); Tvoroshenko, Iryna (57211556518); Gadetska, Svitlana (57203515764); Al-Dhaifallah, Mujahed (57217855650)","55165394800; 6506997369; 57211556518; 57203515764; 57217855650","Methods of classification of images on the basis of the values of statistical distributions for the composition of structural description components","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111991181&doi=10.1109%2fACCESS.2021.3093457&partnerID=40&md5=665f5a0605bd68a51bfdeab504ac530b","Department of Computer Engineering and Networks, College of Engineering at Wadi Addawasir, Prince Sattam Bin Abdulaziz University, Al-Kharj, 11991, Saudi Arabia; Department of Informatics, Kharkiv National University of Radio Electronics, Kharkiv, 61166, Ukraine; Department of Higher Mathematics, Kharkiv National Automobile and Highway University, Kharkiv, 61002, Ukraine; Systems Engineering Department, King Fahd University of Petroleum and Minerals, Dhahran, 31261, Saudi Arabia","Daradkeh Y.I., Department of Computer Engineering and Networks, College of Engineering at Wadi Addawasir, Prince Sattam Bin Abdulaziz University, Al-Kharj, 11991, Saudi Arabia; Gorokhovatskyi V., Department of Informatics, Kharkiv National University of Radio Electronics, Kharkiv, 61166, Ukraine; Tvoroshenko I., Department of Informatics, Kharkiv National University of Radio Electronics, Kharkiv, 61166, Ukraine; Gadetska S., Department of Higher Mathematics, Kharkiv National Automobile and Highway University, Kharkiv, 61002, Ukraine; Al-Dhaifallah M., Systems Engineering Department, King Fahd University of Petroleum and Minerals, Dhahran, 31261, Saudi Arabia","21693536","",""
"Pysarchuk O.; Mironov Y.","Pysarchuk, Oleksii (7801331277); Mironov, Yurii (57670707400)","7801331277; 57670707400","Chromosome Feature Extraction and Ideogram-Powered Chromosome Categorization","2022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129609343&doi=10.1007%2f978-3-031-04812-8_36&partnerID=40&md5=a940fec022c2ab667a1ac1ef92d367cf","Faculty of Informatics and Computer Science, National Technical University of Ukraine “Igor Sikorsky Kyiv Polytechnic Institute”, Kiev, 03056, Ukraine; Faculty of Cybersecurity, Computer and Software Engineering, National Aviation University, Kiev, 03058, Ukraine","Pysarchuk O., Faculty of Informatics and Computer Science, National Technical University of Ukraine “Igor Sikorsky Kyiv Polytechnic Institute”, Kiev, 03056, Ukraine; Mironov Y., Faculty of Cybersecurity, Computer and Software Engineering, National Aviation University, Kiev, 03058, Ukraine","23674512","",""
"Lyaletski A.; Lyaletsky A.","Lyaletski, Alexander (22433510200); Lyaletsky, Alexandre (56291220800)","22433510200; 56291220800","Evidence algorithm approach to automated theorem proving and SAD systems (In Honor of 50 Years of Evidence Algorithm Announcement)","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103252131&partnerID=40&md5=72f875822bf798ca76bcbe642c6f8756","National University of Life and Environmental Sciences, Heroiv Oborony str. 15, Kyiv, 03041, Ukraine","Lyaletski A., National University of Life and Environmental Sciences, Heroiv Oborony str. 15, Kyiv, 03041, Ukraine; Lyaletsky A., National University of Life and Environmental Sciences, Heroiv Oborony str. 15, Kyiv, 03041, Ukraine","16130073","",""
"Lochman Y.; Liepieshov K.; Chen J.; Perdoch M.; Zach C.; Pritts J.","Lochman, Yaroslava (57216248882); Liepieshov, Kostiantyn (57274671100); Chen, Jianhui (57274962800); Perdoch, Michal (24822136000); Zach, Christopher (35618052000); Pritts, James (56042590800)","57216248882; 57274671100; 57274962800; 24822136000; 35618052000; 56042590800","BabelCalib: A Universal Approach to Calibrating Central Cameras","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127824922&doi=10.1109%2fICCV48922.2021.01497&partnerID=40&md5=3cd165d2c5cc7b00551e723c6b9aa085","Chalmers University of Technology, Sweden; Facebook Reality Labs; Ukrainian Catholic University, Ukraine","Lochman Y., Chalmers University of Technology, Sweden; Liepieshov K., Ukrainian Catholic University, Ukraine; Chen J., Facebook Reality Labs; Perdoch M., Facebook Reality Labs; Zach C., Chalmers University of Technology, Sweden; Pritts J., Chalmers University of Technology, Sweden","15505499","978-166542812-5","PICVE"
"Fedyaev O.I.; Tkachev N.M.","Fedyaev, Oleg I. (57219488315); Tkachev, Nikolay M. (57219484881)","57219488315; 57219484881","Operational Visual Control of the Presence of Students in Training Sessions","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093102746&doi=10.1007%2f978-3-030-60577-3_31&partnerID=40&md5=295d5353ea5966445b4ee5a6d5a54602","Donetsk National Technical University, Donetsk, Ukraine","Fedyaev O.I., Donetsk National Technical University, Donetsk, Ukraine; Tkachev N.M., Donetsk National Technical University, Donetsk, Ukraine","1860949X","978-303060576-6",""
"Zarichkovyi O.; Mukha I.","Zarichkovyi, Oleksandr (57226548265); Mukha, Iryna (57202223127)","57226548265; 57202223127","Approximate Training of Object Detection on Large-Scale Datasets","2021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111913313&doi=10.1007%2f978-3-030-80472-5_32&partnerID=40&md5=b947e98fee3c1d9f36a72aec3045abe9","National Technical University of Ukraine “Igor Sikorsky Kyiv Polytechnic Institute”, Kyiv, 03056, Ukraine","Zarichkovyi O., National Technical University of Ukraine “Igor Sikorsky Kyiv Polytechnic Institute”, Kyiv, 03056, Ukraine; Mukha I., National Technical University of Ukraine “Igor Sikorsky Kyiv Polytechnic Institute”, Kyiv, 03056, Ukraine","23674512","",""
"Gargin V.; Radutny R.; Titova G.; Bibik D.; Kirichenko A.; Bazhenov O.","Gargin, Vitaliy (11739691000); Radutny, Radiy (57217113894); Titova, Ganna (57216293767); Bibik, Dmytro (57217113553); Kirichenko, Aleksey (57225681352); Bazhenov, Oleksii (57217113552)","11739691000; 57217113894; 57216293767; 57217113553; 57225681352; 57217113552","Application of the computer vision system for evaluation of pathomorphological images","2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086303133&doi=10.1109%2fELNANO50318.2020.9088898&partnerID=40&md5=0b01cd9957f0fb673021bcd5f629139b","Kharkiv National Medical University, Kharkiv, Ukraine; Aerospace Center NAU, Kyiv, Ukraine; Kharkiv National Medical University, Kharkiv International Medical University, Kharkiv, Ukraine; National Technical University, 'Kharkiv Polytechnic Institute', Kharkiv, Ukraine; National Aviation University, Kyiv, Ukraine; Kyiv, Ukraine","Gargin V., Kharkiv National Medical University, Kharkiv, Ukraine; Radutny R., Aerospace Center NAU, Kyiv, Ukraine; Titova G., Kharkiv National Medical University, Kharkiv International Medical University, Kharkiv, Ukraine; Bibik D., National Technical University, 'Kharkiv Polytechnic Institute', Kharkiv, Ukraine; Kirichenko A., National Aviation University, Kyiv, Ukraine; Bazhenov O., Kyiv, Ukraine","","978-172819713-5",""
"Bashtyk Y.; Campos J.; Fechan A.; Konstantyniv S.; Yakovyna V.","Bashtyk, Yuriy (57193241325); Campos, Jaime (25630167800); Fechan, Andriy (8088913000); Konstantyniv, Sviatoslav (57220763975); Yakovyna, Vitaliy (6602569305)","57193241325; 25630167800; 8088913000; 57220763975; 6602569305","Computer monitoring of physical and chemical parameters of the environment using computer vision systems: Problems and prospects","2020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097584927&partnerID=40&md5=24cd60ddf2e873d6293afde331b7f06f","Lviv Polytechnic National University, 12 Bandera str., Lviv, 79013, Ukraine; Linnaeus University, PG Vejdes 6 & 7, Växjö, SE-35195, Sweden; University of Warmia and Mazury in Olsztyn, 2 Michała Oczapowskiego str., Olsztyn, 10-719, Poland","Bashtyk Y., Lviv Polytechnic National University, 12 Bandera str., Lviv, 79013, Ukraine; Campos J., Linnaeus University, PG Vejdes 6 & 7, Växjö, SE-35195, Sweden; Fechan A., Lviv Polytechnic National University, 12 Bandera str., Lviv, 79013, Ukraine; Konstantyniv S., Lviv Polytechnic National University, 12 Bandera str., Lviv, 79013, Ukraine; Yakovyna V., Lviv Polytechnic National University, 12 Bandera str., Lviv, 79013, Ukraine, University of Warmia and Mazury in Olsztyn, 2 Michała Oczapowskiego str., Olsztyn, 10-719, Poland","16130073","",""
"Kotsur D.; Tereshchenko Y.; Tereshchenko V.","Kotsur, Dmytro (56951322300); Tereshchenko, Yaroslav (56950939100); Tereshchenko, Vasyl (35319035700)","56951322300; 56950939100; 35319035700","A fast approximation of the Voronoi diagram for a set of pairwise disjoint arcs","2018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072740024&doi=10.24132%2fCSRN.2018.2802.2&partnerID=40&md5=b451325097d350dd95f907fb6dee4859","Taras Shevchenko National University of Kyiv, 64/13, Volodymyrska, st., Kyiv, Ukraine","Kotsur D., Taras Shevchenko National University of Kyiv, 64/13, Volodymyrska, st., Kyiv, Ukraine; Tereshchenko Y., Taras Shevchenko National University of Kyiv, 64/13, Volodymyrska, st., Kyiv, Ukraine; Tereshchenko V., Taras Shevchenko National University of Kyiv, 64/13, Volodymyrska, st., Kyiv, Ukraine","24644617","978-808694341-1",""
"Parubochyi V.; Shuwar R.","Parubochyi, Vitalius (57203887078); Shuwar, Roman (14068960200)","57203887078; 14068960200","Fast self-quotient image method for lighting normalization based on modified Gaussian filter kernel","2018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053414165&doi=10.1080%2f13682199.2018.1517857&partnerID=40&md5=ee2d0ac826289a061a9bf7b5a7079c62","Department of System Design, Ivan Franko National University, Lviv, Ukraine","Parubochyi V., Department of System Design, Ivan Franko National University, Lviv, Ukraine; Shuwar R., Department of System Design, Ivan Franko National University, Lviv, Ukraine","13682199","",""
