"Authors","Author full names","Author(s) ID","Title","Year","DOI","Link","Affiliations","Authors with affiliations","ISSN","ISBN","CODEN","Open Access"
"Peleshchak R.; Lytvyn V.; Peleshchak I.; Khudyy A.; Rybchak Z.; Mushasta S.","Peleshchak, Roman (6602604864); Lytvyn, Vasyl (56446930100); Peleshchak, Ivan (57188576351); Khudyy, Andriy (57189329580); Rybchak, Zoriana (57189374702); Mushasta, Solomiya (57224195469)","6602604864; 56446930100; 57188576351; 57189329580; 57189374702; 57224195469","Text Tonality Classification Using a Hybrid Convolutional Neural Network with Parallel and Sequential Connections Between Layers","2022","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134756363&partnerID=40&md5=5c9422fe98ea411d782dae31c322b73f","Lviv Polytechnic National University, 12 Stepana Bandera Street, Lviv, 79000, Ukraine","Peleshchak R., Lviv Polytechnic National University, 12 Stepana Bandera Street, Lviv, 79000, Ukraine; Lytvyn V., Lviv Polytechnic National University, 12 Stepana Bandera Street, Lviv, 79000, Ukraine; Peleshchak I., Lviv Polytechnic National University, 12 Stepana Bandera Street, Lviv, 79000, Ukraine; Khudyy A., Lviv Polytechnic National University, 12 Stepana Bandera Street, Lviv, 79000, Ukraine; Rybchak Z., Lviv Polytechnic National University, 12 Stepana Bandera Street, Lviv, 79000, Ukraine; Mushasta S., Lviv Polytechnic National University, 12 Stepana Bandera Street, Lviv, 79000, Ukraine","16130073","","",""
"Neretin O.; Kharchenko V.","Neretin, Oleksii (58099131000); Kharchenko, Vyacheslav (22034616000)","58099131000; 22034616000","Model for Describing Processes of AI Systems Vulnerabilities Collection and Analysis using Big Data Tools","2022","10.1109/DESSERT58054.2022.10018811","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147843442&doi=10.1109%2fDESSERT58054.2022.10018811&partnerID=40&md5=7eb756ca5465165d74094da8dd33482a","National Aerospace University KhAI, Department of Computer Systems, Networks and Cybersecurity, Kharkiv, Ukraine","Neretin O., National Aerospace University KhAI, Department of Computer Systems, Networks and Cybersecurity, Kharkiv, Ukraine; Kharchenko V., National Aerospace University KhAI, Department of Computer Systems, Networks and Cybersecurity, Kharkiv, Ukraine","","979-835033304-6","",""
"Subach I.; Mogylevych D.; Mykytiuk A.; Kubrak V.; Fesokha V.","Subach, Ihor (36069902600); Mogylevych, Dmytro (57208423273); Mykytiuk, Artem (57215929091); Kubrak, Volodymyr (57215929485); Fesokha, Vitalii (57928287800)","36069902600; 57208423273; 57215929091; 57215929485; 57928287800","Models of Fuzzy Identification of Cyber Incidents in Information and Communication Systems by Intelligent SIEM Systems","2022","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175721354&partnerID=40&md5=68aeb19e5e2d92309632b89ababe19fc","National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute"", Verkhnoklyuchova str., 4, Kyiv, 03056, Ukraine; Heroes of Kruty Military Institute of Telecommunications and Information Technologies, Kyivska str., 45/1, Kyiv, 01011, Ukraine","Subach I., National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute"", Verkhnoklyuchova str., 4, Kyiv, 03056, Ukraine, Heroes of Kruty Military Institute of Telecommunications and Information Technologies, Kyivska str., 45/1, Kyiv, 01011, Ukraine; Mogylevych D., National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute"", Verkhnoklyuchova str., 4, Kyiv, 03056, Ukraine; Mykytiuk A., National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute"", Verkhnoklyuchova str., 4, Kyiv, 03056, Ukraine; Kubrak V., National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute"", Verkhnoklyuchova str., 4, Kyiv, 03056, Ukraine; Fesokha V., Heroes of Kruty Military Institute of Telecommunications and Information Technologies, Kyivska str., 45/1, Kyiv, 01011, Ukraine","16130073","","",""
"Yalova K.; Yashyna K.; Salem A.-B.M.","Yalova, Kateryna (57184291900); Yashyna, Kseniia (57682551500); Salem, Abdel-Badeeh M. (36762342200)","57184291900; 57682551500; 36762342200","Natural Language Interface to Database Approach in the Task of Relational Databases Design","2023","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85154030726&partnerID=40&md5=5c9eb2f2ebe495cfa4bde59826958d56","Dniprovsky State Technical University, Dniprobydivska str.2, Kamianske, 51918, Ukraine; Ain Shams University, El-Khalyfa El-Mamoun Street Abbasya, Cairo, Egypt","Yalova K., Dniprovsky State Technical University, Dniprobydivska str.2, Kamianske, 51918, Ukraine; Yashyna K., Dniprovsky State Technical University, Dniprobydivska str.2, Kamianske, 51918, Ukraine; Salem A.-B.M., Ain Shams University, El-Khalyfa El-Mamoun Street Abbasya, Cairo, Egypt","16130073","","",""
"Babich O.; Vyshnyvskiy V.; Mukhin V.; Zamaruyeva I.; Sheleg M.; Kornaga Y.","Babich, Oksana (57486796200); Vyshnyvskiy, Viktor (57487457000); Mukhin, Vadym (24479839700); Zamaruyeva, Irina (57486796300); Sheleg, Michail (57487295700); Kornaga, Yaroslav (57151441400)","57486796200; 57487457000; 24479839700; 57486796300; 57487295700; 57151441400","The Technique of Key Text Characteristics Analysis for Mass Media Text Nature Assessment","2022","10.5815/ijmecs.2022.01.01","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126316355&doi=10.5815%2fijmecs.2022.01.01&partnerID=40&md5=b786d0ea2b50aabbc7e5b28ee694d071","The Taras Shevchenko National University, Kyiv, 03680, Ukraine; The State University of Telecommunications, Kyiv, 03110, Ukraine; National Technical University of Ukraine Igor Sikorsky Kyiv Polytechnic Institute, Kyiv, 03056, Ukraine","Babich O., The Taras Shevchenko National University, Kyiv, 03680, Ukraine; Vyshnyvskiy V., The State University of Telecommunications, Kyiv, 03110, Ukraine; Mukhin V., National Technical University of Ukraine Igor Sikorsky Kyiv Polytechnic Institute, Kyiv, 03056, Ukraine; Zamaruyeva I., The State University of Telecommunications, Kyiv, 03110, Ukraine; Sheleg M., The State University of Telecommunications, Kyiv, 03110, Ukraine; Kornaga Y., National Technical University of Ukraine Igor Sikorsky Kyiv Polytechnic Institute, Kyiv, 03056, Ukraine","20750161","","","All Open Access; Bronze Open Access"
"Yermilov O.; Raheja V.; Chernodub A.","Yermilov, Olexandr (58484736500); Raheja, Vipul (55575845100); Chernodub, Artem (55274235100)","58484736500; 55575845100; 55274235100","Privacy- and Utility-Preserving NLP with Anonymized Data: A case study of Pseudonymization","2023","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171567533&partnerID=40&md5=ff45e863b71cf35274cdd802a7b41722","Ukrainian Catholic University, Applied Sciences Faculty, Ukraine; Grammarly","Yermilov O., Ukrainian Catholic University, Applied Sciences Faculty, Ukraine; Raheja V., Grammarly; Chernodub A., Grammarly","0736587X","978-195942986-9","",""
"Korovii O.; Petrashenko A.","Korovii, Oleksandr (57644238900); Petrashenko, Andrii (6701678845)","57644238900; 6701678845","Adaptation of Distilling Knowledge Method in Natural Language Processing for Sentiment Analysis","2022","10.1007/978-3-031-03877-8_15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128976108&doi=10.1007%2f978-3-031-03877-8_15&partnerID=40&md5=d98bc9bff4ee0739ad68c5c1f7c19e91","National Technical University of Ukraine “Igor Sikorsky Kyiv Polytechnic Institute”, Kyiv, Ukraine","Korovii O., National Technical University of Ukraine “Igor Sikorsky Kyiv Polytechnic Institute”, Kyiv, Ukraine; Petrashenko A., National Technical University of Ukraine “Igor Sikorsky Kyiv Polytechnic Institute”, Kyiv, Ukraine","23673370","978-303103876-1","",""
"Basyuk T.; Vasyliuk A.","Basyuk, Taras (57189387618); Vasyliuk, Andrii (57208904970)","57189387618; 57208904970","Peculiarities of an Information System Development for Studying Ukrainian Language and Carrying out an Emotional and Content Analysis","2023","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160837117&partnerID=40&md5=3ba61e4c68ded150aafe7c2370241f54","Lviv Polytechnic National University, Bandera str.12, Lviv, 79013, Ukraine","Basyuk T., Lviv Polytechnic National University, Bandera str.12, Lviv, 79013, Ukraine; Vasyliuk A., Lviv Polytechnic National University, Bandera str.12, Lviv, 79013, Ukraine","16130073","","",""
"Didenko B.; Sameliuk A.","Didenko, Bohdan (57369789300); Sameliuk, Andrii (58632771500)","57369789300; 58632771500","RedPenNet for Grammatical Error Correction: Outputs to Tokens, Attentions to Spans","2023","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175947225&partnerID=40&md5=4e686daf658f8d5f7a66aa4462a5768f","WebSpellChecker LLC, Ukraine","Didenko B., WebSpellChecker LLC, Ukraine; Sameliuk A., WebSpellChecker LLC, Ukraine","","978-195942952-4","",""
"Vysotska V.; Markiv O.; Tchynetskyi S.; Polishchuk B.; Bratasyuk O.; Panasyuk V.","Vysotska, Victoria (24484045400); Markiv, Oksana (57191954570); Tchynetskyi, Stepan (57444530300); Polishchuk, Bohdan (57456785800); Bratasyuk, Oksana (58490106700); Panasyuk, Valentyna (57200174627)","24484045400; 57191954570; 57444530300; 57456785800; 58490106700; 57200174627","Sentiment Analysis of Information Space as Feedback of Target Audience for Regional E-Business Support in Ukraine","2023","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164906943&partnerID=40&md5=761fa955816210b2a3f3efee1978f436","Lviv Polytechnic National University, S. Bandera Street, 12, Lviv, 79013, Ukraine; Osnabrück University, Friedrich-Janssen-Str. 1, Osnabrück, 49076, Germany; West Ukrainian National University, Lvivska Street, 11, Ternopil, 46004, Ukraine","Vysotska V., Lviv Polytechnic National University, S. Bandera Street, 12, Lviv, 79013, Ukraine, Osnabrück University, Friedrich-Janssen-Str. 1, Osnabrück, 49076, Germany; Markiv O., Lviv Polytechnic National University, S. Bandera Street, 12, Lviv, 79013, Ukraine; Tchynetskyi S., Lviv Polytechnic National University, S. Bandera Street, 12, Lviv, 79013, Ukraine; Polishchuk B., Lviv Polytechnic National University, S. Bandera Street, 12, Lviv, 79013, Ukraine; Bratasyuk O., Osnabrück University, Friedrich-Janssen-Str. 1, Osnabrück, 49076, Germany, West Ukrainian National University, Lvivska Street, 11, Ternopil, 46004, Ukraine; Panasyuk V., West Ukrainian National University, Lvivska Street, 11, Ternopil, 46004, Ukraine","16130073","","",""
"Trokhymovych M.; Kosovan O.","Trokhymovych, Mykola (57271564000); Kosovan, Oleksandr (58115317400)","57271564000; 58115317400","GeoDD: End-to-End Spatial Data De-duplication System","2023","10.1007/978-3-031-21438-7_60","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148754979&doi=10.1007%2f978-3-031-21438-7_60&partnerID=40&md5=0149c0b4e513e4cf29fa922b8f7f1337","Ukrainian Catholic University, Lviv, Ukraine; University of Lviv, Lviv, Ukraine","Trokhymovych M., Ukrainian Catholic University, Lviv, Ukraine; Kosovan O., University of Lviv, Lviv, Ukraine","23673370","978-303121437-0","",""
"Barkovska O.; Rusnak P.; Tkachov V.; Muzyka T.","Barkovska, Olesia (24482907700); Rusnak, Patrik (57195920975); Tkachov, Vitalii (56485859400); Muzyka, Tetiana (57958095100)","24482907700; 57195920975; 56485859400; 57958095100","Impact of Stemming on Efficiency of Messages Likelihood Definition in Telegram Newsfeeds","2022","10.1109/KhPIWeek57572.2022.9916415","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141538512&doi=10.1109%2fKhPIWeek57572.2022.9916415&partnerID=40&md5=f75c17a06c5a603135a41f5bb78b51ab","Kharkiv National University of Radio Electronics, Department of Electronic Computers, Kharkiv, Ukraine; University of Žlina, Department of Informatics, Zilina, Slovakia; Yaroslav Mudryi National Law University, Department of Civil Law No., Kharkiv, Ukraine","Barkovska O., Kharkiv National University of Radio Electronics, Department of Electronic Computers, Kharkiv, Ukraine; Rusnak P., University of Žlina, Department of Informatics, Zilina, Slovakia; Tkachov V., Kharkiv National University of Radio Electronics, Department of Electronic Computers, Kharkiv, Ukraine; Muzyka T., Yaroslav Mudryi National Law University, Department of Civil Law No., Kharkiv, Ukraine","","979-835039920-2","",""
"Dosyn D.; Daradkeh Y.I.; Kovalevych V.; Luchkevych M.; Kis Y.","Dosyn, Dmytro (56983080500); Daradkeh, Yousef Ibrahim (55165394800); Kovalevych, Vira (57189325983); Luchkevych, Mykhailo (14071777700); Kis, Yaroslav (36571783300)","56983080500; 55165394800; 57189325983; 14071777700; 36571783300","Domain Ontology Learning using Link Grammar Parser and WordNet","2022","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146115987&partnerID=40&md5=58428e83032ff3b41a63807378a0779e","Information Systems and Network Department, Institute of Computer Science and Information Technologies, Lviv Polytechnic National University (LPNU), Ukraine; Department of Computer Engineering and Networks, College of Engineering at Wadi, Prince Sattam Bin Abdulaziz University, Addawasir 11991, South Africa; Department of the theory of wave processes and optical systems of diagnostics, Karpenko Physico-Mechanical Institute, The National Academy of Sciences of Ukraine, Ukraine","Dosyn D., Information Systems and Network Department, Institute of Computer Science and Information Technologies, Lviv Polytechnic National University (LPNU), Ukraine; Daradkeh Y.I., Department of Computer Engineering and Networks, College of Engineering at Wadi, Prince Sattam Bin Abdulaziz University, Addawasir 11991, South Africa; Kovalevych V., Department of the theory of wave processes and optical systems of diagnostics, Karpenko Physico-Mechanical Institute, The National Academy of Sciences of Ukraine, Ukraine; Luchkevych M., Information Systems and Network Department, Institute of Computer Science and Information Technologies, Lviv Polytechnic National University (LPNU), Ukraine; Kis Y., Information Systems and Network Department, Institute of Computer Science and Information Technologies, Lviv Polytechnic National University (LPNU), Ukraine","16130073","","",""
"Oleh B.; Ihor F.; Zoriana R.","Oleh, Basystiuk (58178875200); Ihor, Farmaha (58178811300); Zoriana, Rybchak (58179012100)","58178875200; 58178811300; 58179012100","Exploring Multimodal Data Approach in Natural Language Processing Based on Speech Recognition Algorithms","2023","10.1109/CADSM58174.2023.10076532","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152207366&doi=10.1109%2fCADSM58174.2023.10076532&partnerID=40&md5=dcd452a46d71d7e07e3db9c484461349","Lviv Polytechnic National University, Artificial Intelligence Department, Lviv, Ukraine; Lviv Polytechnic National University, Department of Computer-Aided Design, Lviv, Ukraine; Lviv Polytechnic National University, Information Systems and Networks Department, Lviv, Ukraine","Oleh B., Lviv Polytechnic National University, Artificial Intelligence Department, Lviv, Ukraine; Ihor F., Lviv Polytechnic National University, Department of Computer-Aided Design, Lviv, Ukraine; Zoriana R., Lviv Polytechnic National University, Information Systems and Networks Department, Lviv, Ukraine","","979-835031085-6","",""
