Заголовок;Тип ЗМІ;Джерело;Країна;Регіон;Місто;Рівень видання;Рубрика;Дата виходу;Дата обробки;URL;Анотація;Ім'я автора;Країна автора;Назва місця публікації;Кількість лайків;Кількість репостів;Кількість коментарів;Сумарна кількість переглядів разом із дублями;Тип повідомлення
Та краще додаток завантажити Повітряна тривога й підключити місто;Соціальні мережі;telegram;;;;;;29.04.2024 21:12;29.04.2024 21:12;https://t.me/poltava/940886;Та краще додаток завантажити Повітряна тривога й підключити місто;Anastasia ;;ПОЛТАВА ;;;;;Відповідь
"Підкажіть якийсь додаток ""повітряна тривога"", будь ласка";Соціальні мережі;telegram;;;;;;23.04.2024 17:30;23.04.2024 17:30;https://t.me/svoikrcomment/948885;"Підкажіть якийсь додаток ""повітряна тривога"", будь ласка";krutezna _kullka;;ЧАТ | СВОЇ;;;;;Відповідь
Повітряна тривога! Зявився іранський вилупок. Новий додаток сповіщень про небезпеку в Україні - t.me/operativniy_monitor!;Соціальні мережі;telegram;;;;;;13.12.2024 16:17;13.12.2024 16:38;https://t.me/truexapoltava/47552;"Повітряна тривога!

Зявився іранський вилупок. 

Новий додаток сповіщень про небезпеку в Україні - t.me/operativniy_monitor!";ТрухаПолтава;;ТрухаПолтава;;;;;Пост
"В Україні оновили додаток ""Повітряна тривога"": Ігнат назвав відмінність Як повідомив речник Повітряних сил ЗСУ Юрій Ігнат, в Україні оновили...";Соціальні мережі;telegram;;;;;;29.02.2024 10:20;29.02.2024 10:20;https://t.me/RBC_ua_news/85435;"В Україні оновили додаток ""Повітряна тривога"": Ігнат назвав відмінність

Як повідомив речник Повітряних сил ЗСУ Юрій Ігнат, в Україні оновили додаток ""Повітряна тривога"". Ця версія дозволяє отримати додаткову інформацію про загрозу.

Зокрема, додаток сповіщатиме, коли та чи інша ворожа ціль входитиме у повітряний простір України та небезпеку в тому регіоні, де перебуває користувач.  

";РБК-Україна;;РБК-Україна;;;;;Пост
"Доброго дня всім, обновіть додаток ""повітряна тривога"", там з'явилась опція ""підвищена небезпека"".";Соціальні мережі;telegram;;;;;;29.02.2024 17:11;29.02.2024 17:11;https://t.me/odhello_chat/6530957;"Доброго дня всім, обновіть додаток ""повітряна тривога"", там з'явилась опція ""підвищена небезпека"".";Sergey G.;;Подслушано Чат;;;;;Пост
В Україні оновили додаток Повітряна тривога Щоб користуватися новими можливостями застосунок потрібно оновити.;Соціальні мережі;telegram;;;;;;29.02.2024 10:46;29.02.2024 10:46;https://t.me/HromadskeRadioNews/31886;"В Україні оновили додаток Повітряна тривога

Щоб користуватися новими можливостями застосунок потрібно оновити.";Громадське радіо | Новини;;Громадське радіо | Новини;;;;;Пост
"Мобільний застосунок ""Повітряна тривога"" тепер буде повідомляти про підвищену небезпеку,  Ігнат ""Додаток сповіщатиме, коли ракети та...";Соціальні мережі;telegram;;;;;;29.02.2024 10:36;29.02.2024 10:36;https://t.me/TrueUA_info/20168;"Мобільний застосунок ""Повітряна тривога"" тепер буде повідомляти про підвищену небезпеку,  Ігнат

""Додаток сповіщатиме, коли ракети та безпілотники входитимуть у повітряний простір України та небезпеку в тому регіоні, де перебуває користувач"",  речник ПС. 

Разом з тим він порадив користуватися й іншими джерелами офіційної інформації, і не сприймати додаток ""Повітряна тривога"" як єд";TrueUA;;TrueUA;;;;;Пост
"Оновлений додаток ""Повітряна тривога"" тепер буде повідомляти про підвищену небезпеку,  Ігнат ""Додаток сповіщатиме, коли ракети та безпілотники...";Соціальні мережі;telegram;;;;;;29.02.2024 09:57;29.02.2024 09:57;https://t.me/UaOnlii/70788;"Оновлений додаток ""Повітряна тривога"" тепер буде повідомляти про підвищену небезпеку,  Ігнат

""Додаток сповіщатиме, коли ракети та безпілотники входитимуть у повітряний простір України та небезпеку в тому регіоні, де перебуває користувач"",  речник ПС. 

Україна Online | Підписатись";Україна Online: Новини | Політика;;Україна Online: Новини | Політика;;;;;Пост
"Оновлений додаток ""Повітряна тривога"" тепер буде повідомляти про підвищену небезпеку,  Ігнат ""Додаток сповіщатиме, коли ракети та безпілотники...";Соціальні мережі;telegram;;;;;;29.02.2024 09:57;29.02.2024 09:57;https://t.me/Ukraina_onli/3980527;"Оновлений додаток ""Повітряна тривога"" тепер буде повідомляти про підвищену небезпеку,  Ігнат

""Додаток сповіщатиме, коли ракети та безпілотники входитимуть у повітряний простір України та небезпеку в тому регіоні, де перебуває користувач"",  речник ПС. 

Україна Online | Підписатись";Україна Online Чат ;;Україна Online Чат ;;;;;Пост
"Оновлений додаток ""Повітряна тривога"" тепер буде повідомляти про підвищену небезпеку, - речник ПС ЗСУ Додаток сповіщатиме, коли ракети та...";Соціальні мережі;telegram;;;;;;29.02.2024 10:20;29.02.2024 10:20;https://t.me/operativnoZSU/138535;"Оновлений додаток ""Повітряна тривога"" тепер буде повідомляти про підвищену небезпеку, - речник ПС ЗСУ 

Додаток сповіщатиме, коли ракети та безпілотники входитимуть у повітряний простір України та небезпеку в тому регіоні, де перебуває користувач, - заявив Юрій Ігнат

https://t.me/operativnoZSU";Оперативний ЗСУ;;Оперативний ЗСУ;;;;;Пост
" Оновлений додаток ""Повітряна тривога"" тепер буде повідомляти про підвищену небезпеку, - Ігнат Додаток сповіщатиме, коли ракети та безпілотники...";Соціальні мережі;telegram;;;;;;29.02.2024 09:36;29.02.2024 09:36;https://t.me/weukrainetv/55972;" Оновлений додаток ""Повітряна тривога"" тепер буде повідомляти про підвищену небезпеку, - Ігнат

Додаток сповіщатиме, коли ракети та безпілотники входитимуть у повітряний простір України та небезпеку в тому регіоні, де перебуває користувач, повідомив речник Повітряних сил ЗСУ. 

Джерело: телеканал ""Ми-Україна""

@weukrainetv";Ми Україна | Новини сьогодні;;Ми Україна | Новини сьогодні;;;;;Пост
"Оновлений додаток ""Повітряна тривога"" тепер буде повідомляти про підвищену небезпеку,  Ігнат ""Додаток сповіщатиме, коли ракети та безпілотники...";Соціальні мережі;telegram;;;;;;29.02.2024 09:58;29.02.2024 09:58;https://t.me/VICTORIA_UA1/236274;"Оновлений додаток ""Повітряна тривога"" тепер буде повідомляти про підвищену небезпеку,  Ігнат

""Додаток сповіщатиме, коли ракети та безпілотники входитимуть у повітряний простір України та небезпеку в тому регіоні, де перебуває користувач"",  речник ПС. 

Агент України
 #Украина #Киев #Харьков #Львов #Одесса #Днепр #война";.;;.;;;;;Пост
Мобільний додаток Повітряна тривога отримав оновлення: які нові функції додали в застосунок https://inf.im/6ZKV9;Соціальні мережі;telegram;;;;;;29.02.2024 19:45;29.02.2024 19:45;https://t.me/dp_informator_ua/79572;"Мобільний додаток Повітряна тривога отримав оновлення: які нові функції додали в застосунок
https://inf.im/6ZKV9";Інформатор Дніпро;;Інформатор Дніпро;;;;;Пост
Може оновіть додаток, програма Повітряна тривога;Соціальні мережі;telegram;;;;;;22.05.2024 09:52;22.05.2024 09:52;https://t.me/people_advise_Lviv_varta1/339034;Може оновіть додаток, програма Повітряна тривога;Oksana Halan;;Люди радять - people advise ( Lviv varta1 );;;;;Відповідь
"#Додаток ""#Повітряна #тривога""";Соціальні мережі;facebook;Україна;Київ (Центральні);;Національний;Информационно-новостные;06.02.2024 21:56;07.02.2024 01:51;https://www.facebook.com/zhytomyr.online/posts/pfbid0DkmFi8eM8rP8aEAcChuqu4TimtWYHkKDyaptxfSdgooM5aJUhaYShC2EB4eWScbkl;"#Додаток ""#Повітряна #тривога""";Житомир-Онлайн;Україна;Житомир-Онлайн;2;0;0;;Пост
Застосунок Повітряна тривога надсилатиме сповіщення про наближення ракети або БПЛА під час загальної тривоги Для цього потрібно оновити додаток...;Соціальні мережі;telegram;;;;;;29.02.2024 11:29;29.02.2024 11:29;https://t.me/bitua/27765;"Застосунок Повітряна тривога надсилатиме сповіщення про наближення ракети або БПЛА під час загальної тривоги

Для цього потрібно оновити додаток та ввести свій регіон.";bit.ua;;bit.ua;;;;;Пост
"Оновлений додаток ""Повітряна тривога"" тепер буде повідомляти про підвищену небезпеку, - речник ПС ЗСУ Додаток сповіщатиме, коли ракети та...";Соціальні мережі;telegram;;;;;;29.02.2024 11:10;29.02.2024 11:10;https://t.me/vchasnoua/77025;"Оновлений додаток ""Повітряна тривога"" тепер буде повідомляти про підвищену небезпеку, - речник ПС ЗСУ 

Додаток сповіщатиме, коли ракети та безпілотники входитимуть у повітряний простір України та небезпеку в тому регіоні, де перебуває користувач, - заявив Юрій Ігнат

Підписатись | Сайт | Facebook | Надіслати новину";Вчасно | Новини Війни ;;Вчасно | Новини Війни ;;;;;Пост
Звичайна наша повітряна тривога. Зайдіть на Плей маркет і оновіть додаток, якщо він у вас автоматично ще не оновився.;Соціальні мережі;telegram;;;;;;01.03.2024 09:34;01.03.2024 09:34;https://t.me/svoikrcomment/855097;Звичайна наша повітряна тривога. Зайдіть на Плей маркет і оновіть додаток, якщо він у вас автоматично ще не оновився.;Kateryna;;ЧАТ | СВОЇ;;;;;Відповідь
Коли посеред ночі на маминому телефоні на повну гучність врубається додаток повітряна тривога:;Соціальні мережі;telegram;;;;;;11.05.2024 19:52;11.05.2024 19:52;https://t.me/anarchymemes/735638;Коли посеред ночі на маминому телефоні на повну гучність врубається додаток повітряна тривога:;Giancarlo Carbonell;;анархо-плітки ;;;;;Відповідь
Я тут зареєструвався після 24 тільки заради того що не працював в мене додаток повітряна тривога яке створило мінцифри;Соціальні мережі;telegram;;;;;;29.04.2024 02:42;29.04.2024 02:42;https://t.me/Ukraina_onli/4440040;Я тут зареєструвався після 24 тільки заради того що не працював в мене додаток повітряна тривога яке створило мінцифри;Ukraine ;;Україна Online Чат ;;;;;Відповідь
Додаток - Повітряна тривога;Соціальні мережі;tiktok.com;Україна;Київ (Центральні);;Національний;Новости и меди;07.07.2024 19:55;08.07.2024 04:04;https://www.tiktok.com/%40i.sophist/video/7388923098952781062;Додаток - Повітряна тривога;Владислав;Україна;Ягодзінський Сергій;0;0;0;;Коментар
Цейво, а вони вже встановили собі додаток, що волає коли повітряна тривога? Тре їм якось сказати ;Соціальні мережі;telegram;;;;;;23.08.2024 18:27;23.08.2024 18:29;https://t.me/Ukraina_onli/5068815;Цейво, а вони вже встановили собі додаток, що волає коли повітряна тривога? Тре їм якось сказати ;Сергій;;Україна Online Чат ;;;;;Відповідь
"@thenaukaua Тобто навіть в мух є додаток ""повітряна тривога""?";Соціальні мережі;twitter;Україна;Київ (Центральні);;;Информационно-новостные;29.08.2024 20:53;31.08.2024 00:27;https://x.com/kyiv0fficial/status/1829215758897033329;"@thenaukaua Тобто навіть в мух є додаток ""повітряна тривога""?";Kyiv Symmetric;Україна;nauka.ua;3;0;0;;Коментар
Підвищена небезпека оголошена в Хмельницькій громаді - офіційний додаток Повітряна тривога;Соціальні мережі;telegram;;;;;;26.08.2024 07:59;26.08.2024 08:39;https://t.me/yeuanews/23319;Підвищена небезпека оголошена в Хмельницькій громаді - офіційний додаток Повітряна тривога;Є Новини Хмельницького та області;;Є Новини Хмельницького та області;10;;0;;Пост
До уваги мешканців громади! Звертаємо увагу на те, що відсьогодні слідувати за оповіщенням Повітряна тривога можна буде через офіційний додаток...;Соціальні мережі;facebook;Україна;Київ (Центральні);;Національний;Информационно-новостные;04.12.2024 20:35;04.12.2024 21:33;https://www.facebook.com/rivnecouncil/posts/pfbid02NoMoeNHYHe3mBGw9uTPpQ4cRNZNvbM1Wn4GDHFVwav6oVwmcqintGurCmpn43yWjl;"До уваги мешканців громади!

Звертаємо увагу на те, що відсьогодні слідувати за оповіщенням Повітряна тривога можна буде через офіційний додаток ""Тривога"", а також у телеграм каналі секретаря Рівненської міської ради Віктора Шакирзяна
";Рівненська міська рада;Україна;Рівненська міська рада;3;0;0;;Пост
Віра Бондарук встановіть додаток повітряна тривога, будете в курсі);Соціальні мережі;facebook;Україна;Київ (Центральні);;Національний;Информационно-новостные;17.11.2024 12:22;17.11.2024 13:38;https://www.facebook.com/groups/MukachevoSOS/permalink/1609852413215465/;Віра Бондарук встановіть додаток повітряна тривога, будете в курсі);Олеся Досюк;Україна;Мукачево SOS;0;;0;;Відповідь на коментар
" Додаток ""Повітряна тривога"" сповістив про підвищену небезпеку в Івано-Франківську та Франківській громаді.";Соціальні мережі;telegram;;;;;;22.03.2024 03:36;22.03.2024 03:36;https://t.me/galkaifuanews/24121;" Додаток ""Повітряна тривога"" сповістив про підвищену небезпеку в Івано-Франківську та Франківській громаді.";Новини Франківська GALKA.IF.UA;;Новини Франківська GALKA.IF.UA;;;;;Пост
Мобільний додаток Повітряна тривога отримав оновлення: які нові функції додали в застосунок https://inf.im/6ZKV9;Соціальні мережі;telegram;;;;;;01.03.2024 10:05;01.03.2024 10:05;https://t.me/nikopol_informator_ua/29226;"Мобільний додаток Повітряна тривога отримав оновлення: які нові функції додали в застосунок
https://inf.im/6ZKV9";Інформатор Нікополь;;Інформатор Нікополь;;;;;Пост
Увага! Високий рівень небезпеки, пройдіться в найближчі укриття!, - Додаток Повітряна тривога.;Соціальні мережі;telegram;;;;;;26.05.2024 03:37;26.05.2024 03:37;https://t.me/korostentoday/15471;Увага! Високий рівень небезпеки, пройдіться в найближчі укриття!, - Додаток Повітряна тривога.;КОРОСТЕНЬ today:;;КОРОСТЕНЬ today:;;;;;Пост
" Оновлений додаток ""Повітряна тривога"" тепер буде повідомляти про підвищену небезпеку, - Ігнат Додаток сповіщатиме, коли ракети та безпілотники...";Соціальні мережі;facebook;Україна;Київ (Центральні);;Національний;Информационно-новостные;29.02.2024 20:51;29.02.2024 23:13;https://www.facebook.com/groups/izmail24/permalink/1942128272873659/;" Оновлений додаток ""Повітряна тривога"" тепер буде повідомляти про підвищену небезпеку, - Ігнат

Додаток сповіщатиме, коли ракети та безпілотники входитимуть у повітряний простір України та небезпеку в тому регіоні, де перебуває користувач, повідомив речник Повітряних сил ЗСУ.";Измаил 24 / 7;Україна;Барахолка Измаила;2;0;0;;Пост
Додаток Повітряна тривога оновлено. Нова версія дозволяє отримати додаткову інформацію про загрозу.;Соціальні мережі;facebook;Україна;Київ (Центральні);;Національний;Информационно-новостные;29.02.2024 11:28;29.02.2024 13:58;https://www.facebook.com/korrespondent.net/posts/pfbid02vJPwnn19di8LS6nnxNmoyV9Actwi79cHpAVTzUa2AnvrPxuN1hs9GU5WSSht2Vctl;Додаток Повітряна тривога оновлено. Нова версія дозволяє отримати додаткову інформацію про загрозу.;Корреспондент;Україна;Корреспондент;3;2;0;;Пост
Оновлений додаток Повітряна тривога сповіщатиме про наближення російських ракет https://t.co/5IPOAGgpaL;Соціальні мережі;twitter;Україна;Київ (Центральні);;;Информационно-новостные;28.02.2024 23:01;29.02.2024 03:49;https://twitter.com/racurs_ua/status/1762946173722103886;Оновлений додаток Повітряна тривога сповіщатиме про наближення російських ракет https://t.co/5IPOAGgpaL;Ракурс UA;Україна;Ракурс UA;0;1;0;;Пост
Оновлений додаток Повітряна тривога тепер буде повідомляти про підвищену небезпеку https://wz.lviv.ua/news/507929-onovlenyi-dodatok-povitriana-...;Соціальні мережі;telegram;;;;;;29.02.2024 14:42;29.02.2024 14:42;https://t.me/wz_lviv/144075;"Оновлений додаток Повітряна тривога тепер буде повідомляти про підвищену небезпеку

https://wz.lviv.ua/news/507929-onovlenyi-dodatok-povitriana-tryvoha-teper-bude-povidomliaty-pro-pidvyshchenu-nebezpeku";Високий Замок;;Високий Замок;;;;;Пост
Додаток Повітряна тривога тепер сповіщатиме про наближення ракети або шахеда https://t.co/sytsRZo1ED;Соціальні мережі;twitter;Україна;Київ (Центральні);;;Информационно-новостные;29.02.2024 16:19;01.03.2024 00:33;https://twitter.com/racurs_ua/status/1763207277492998226;Додаток Повітряна тривога тепер сповіщатиме про наближення ракети або шахеда https://t.co/sytsRZo1ED;Ракурс UA;Україна;Ракурс UA;0;1;0;;Пост
Додаток Повітряна тривога спільно з громадською організацією AЗОВ.ONE розпочали кампанію Щит і пульс. Метою цієї ініціативи є збір 2 540 000...;Соціальні мережі;twitter;Україна;Київ (Центральні);;;Информационно-новостные;17.10.2024 18:56;17.10.2024 18:58;https://x.com/the_page_ua/status/1846943436470919533;Додаток Повітряна тривога спільно з громадською організацією AЗОВ.ONE розпочали кампанію Щит і пульс. Метою цієї ініціативи є збір 2 540 000 грн для медичної служби 12-ї бригади спеціального призначення Азов НГУ. Для участі в зборі коштів доста... https://t.co/qJZIDgFCTV;The Page;Україна;The Page;0;0;0;;Пост
Додаток  Повітряна тривога;Соціальні мережі;facebook;Україна;Київ (Центральні);;Національний;Информационно-новостные;25.04.2024 21:50;26.04.2024 17:01;https://www.facebook.com/ser.sanych10/posts/pfbid0MGEECxA24bnn6SAp3pk1cU6ccMgb9gKqjNFUjWu9RAudRrJBhwSL8wkrf4AxhfdQl?comment_id=976012657489872;Додаток  Повітряна тривога;Ольга Гудима;Україна;Serhii Rabcheniuk;3;0;0;;Коментар
Вчора в театрі крім сповіщання Повітряна тривога у когось додаток кричав, що летять ракети. Що це за додаток? Підкажить будь ласка.;Соціальні мережі;facebook;Україна;Київ (Центральні);;Національний;Информационно-новостные;01.07.2024 11:49;01.07.2024 18:37;https://www.facebook.com/permalink.php;"Вчора в театрі крім сповіщання  Повітряна тривога у когось додаток кричав, що летять ракети.
Що це за додаток? Підкажить будь ласка.";Олена Юджин Чернікова;Україна;Олена Юджин Чернікова;9;0;0;;Пост
Додаток Повітряна тривога поповнився техніками психологічної самодопомоги https://t.co/GoOdufP4AX;Соціальні мережі;twitter;Україна;Київ (Центральні);;;Информационно-новостные;12.06.2024 08:37;12.06.2024 15:20;https://twitter.com/prosto_mob/status/1800764309300990212;Додаток Повітряна тривога поповнився техніками психологічної самодопомоги https://t.co/GoOdufP4AX;ProstoMob;;ProstoMob;0;0;0;;Пост
"Redmi note 10 pro 8/128 Gb остання версія тривоги, та після останнього оновлення додаток вилітає пише: ""додаток повітряна тривога не відповідає""...";Соціальні мережі;tiktok.com;Україна;Київ (Центральні);;Національний;Новости и меди;06.03.2024 03:56;06.03.2024 06:53;https://www.tiktok.com/%40stfalcon/video/7342151893189217541;"Redmi note 10 pro 8/128 Gb остання версія тривоги, та після останнього оновлення додаток вилітає пише: ""додаток повітряна тривога не відповідає"" Закрити? Чекати? кожного разу.";Vov4ik;Україна;ІТ компанія Stfalcon;0;0;0;;Коментар
Додайте Курську область у додаток повітряна тривога));Соціальні мережі;tiktok.com;Україна;Київ (Центральні);;Національний;Новости и меди;19.08.2024 23:28;20.08.2024 03:34;https://www.tiktok.com/%40stfalcon/video/7404814419420515590;Додайте Курську область у додаток повітряна тривога));tortiKbs_;Україна;ІТ компанія Stfalcon;0;0;0;;Коментар
" Додаток Повітряна тривога тепер сповіщатиме про наближення ракети або БПЛА Як повідомили розробники, щоб отримувати такі ""уточнені"" сповіщення...";Соціальні мережі;telegram;;;;;;29.02.2024 15:58;29.02.2024 15:58;https://t.me/Novynarnia/53816;" Додаток Повітряна тривога тепер сповіщатиме про наближення ракети або БПЛА

Як повідомили розробники, щоб отримувати такі ""уточнені"" сповіщення про загрозу саме для вашого міста чи району, потрібно встановити застосунок Повітряна тривога версії 6.0 або оновити вже встановлений. 

Для отримання сповіщень про наближення повітряної цілі, у додатку слід обрати регіон, місто або територ";Новинарня;;Новинарня;;;;;Пост
###Відповідь для ЯяяКакаджамбо Вибачте, я виїхала, видалила додаток повітряна тривога, сплю спокійно Що мені потрібно зробити щоб вам було...;Форум;sovet.kidstaff.com.ua;Україна;Київ (Центральні);;;Lifestyle;13.11.2024 08:53;13.11.2024 09:22;https://sovet.kidstaff.com.ua/question-3633944;"###Відповідь для ЯяяКакаджамбо
                     
                                                
                        Вибачте, я виїхала, видалила додаток повітряна тривога, сплю спокійно  
Що мені потрібно зробити щоб вам було спокійніше?### 
		Искать другой форум";Заместитель Анонима (kidstaff.com.ua);;Mukarnas Spa Resort 5*;;;;;
###Відповідь для Донька подруги Шестую тему создавать, конечно### Вибачте, я виїхала, видалила додаток повітряна тривога, сплю спокійно Що мені...;Форум;sovet.kidstaff.com.ua;Україна;Київ (Центральні);;;Lifestyle;13.11.2024 08:10;13.11.2024 08:23;https://sovet.kidstaff.com.ua/question-3633944;"###Відповідь для Донька подруги
                     
                                                
                        Шестую тему создавать, конечно### 
		Вибачте, я виїхала, видалила додаток повітряна тривога, сплю спокійно  
Що мені потрібно зробити щоб вам було спокійніше?";ЯяяКакаджамбо (kidstaff.com.ua);;Mukarnas Spa Resort 5*;;;;;
"додаток ""повітряна тривога""";Соціальні мережі;facebook;Україна;Київ (Центральні);;Національний;Информационно-новостные;05.09.2024 22:14;06.09.2024 00:05;https://www.facebook.com/groups/139839263048145/permalink/2262514097447307/;"додаток ""повітряна тривога""";Sergius Triticum Aestivum;Україна;Кіно на Призьбі;2;0;0;;Коментар
В Україні оновили додаток Повітряна тривога. Ця версія дозволяє отримати додаткову інформацію про загрозу;Соціальні мережі;facebook;Україна;Київ (Центральні);;Національний;Информационно-новостные;29.02.2024 18:55;29.02.2024 23:13;https://www.facebook.com/groups/1413658142289048/permalink/3717037318617774/;В Україні оновили додаток Повітряна тривога. Ця версія дозволяє отримати додаткову інформацію про загрозу;News7.ca;Україна;НОВИНИ;0;0;0;;Пост
"В Україні оновили додаток ""Повітряна тривога"". Ця версія дозволяє отримати додаткову інформацію про загрозу.";Соціальні мережі;facebook;Україна;Київ (Центральні);;Національний;Информационно-новостные;29.02.2024 11:32;29.02.2024 14:36;https://www.facebook.com/NewsUAinfo.org/posts/pfbid02aNdFZweGhXLqqmuDCiBpZAPiL9y6e2o9wSd5Avu5a8MkTsi538Z4W6A7682a5KBsl;"В Україні оновили додаток ""Повітряна тривога"". Ця версія дозволяє отримати додаткову інформацію про загрозу.

 ";UAINFO;Україна;UAINFO;1;0;0;;Пост
Додаток Повітряна тривога надсилатиме попередження про підвищену небезпеку в окремих містах та громадах.;Соціальні мережі;facebook;Україна;Київ (Центральні);;Національний;Информационно-новостные;28.02.2024 21:00;28.02.2024 23:03;https://www.facebook.com/slovoidilo.ua/posts/pfbid0GdsH22wStX4odwX1wLxfGUrKw5pNj44hKbbkwsYvyfMFLDD4LFV1uZuNMUZ3KpEvl;Додаток Повітряна тривога надсилатиме попередження про підвищену небезпеку в окремих містах та громадах.;Слово і діло;Україна;Слово і діло;4;0;0;;Пост
